Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11
CART,1,0.04721030042918455,0.04119850187265917,0.9785293985536541,0.044,0.6635419071768582,0.033272318321117884,0.02554122235380341,0.046687347532370006,0.05244945111653212,0.17418805122912356,0.009655423156314468,0.07038890973916301,0.09848212610245824,0.044667855132294945,0.0289704916494651,0.021701069619065417,0.04124061737661846,0.027667479827359665,0.08390129480202657
CART,2,0.29354838709677417,0.4776902887139108,0.9703237829023993,0.36363636363636365,0.8479078934854258,0.3602291002654473,0.029320337886453485,0.37247948491352095,0.07336615747169965,0.1519792674886728,0.08438468767972614,0.22976349787484737,0.03011235955056173,0.05978832638976552,0.12765952671520142,0.06023341609504969,0.07163741951773765,0.06468403259969972,0.04429954130370735
CART,3,0.17233009708737865,0.28174603174603174,0.9758378078133679,0.21385542168674695,0.680472109225856,0.20864122684709027,0.02272333374425497,0.15523480824739438,0.036168254558731336,0.02947527228387794,0.0587873464635819,0.26969151493858556,0.0,0.14317433745978614,0.04936746095714415,0.10537547963984824,0.019675808240505476,0.09165450775346004,0.1247970184829259
CART,4,0.1694915254237288,0.1724137931034483,0.9780840488025305,0.17094017094017094,0.7676897814828849,0.15984223791690952,0.03099848767210608,0.17152872260015117,0.03858875031494076,0.04547556059460813,0.013325302343159429,0.205275888133031,0.0018879125724364342,0.011794217687074804,0.01293225623582761,0.06714301461325274,0.07435389896699425,0.1726725875535398,0.07106670445956158
CART,5,0.17557251908396945,0.359375,0.9784713191735298,0.23589743589743592,0.739358755448609,0.24136309429525427,0.02408225655686884,0.14059999999999992,0.13234244946492268,0.0032240190249702484,0.15674149821640904,0.02125065398335313,0.0,0.1786991676575505,0.06406860879904874,0.12848192627824018,0.03375612366230676,0.1325218787158145,0.06571082045184304
CART,6,0.039448966812773954,0.6923076923076923,0.910610049215978,0.07464454976303318,0.8200645066260899,0.15087832624610895,0.06719463903438506,0.09596950954861105,0.25242757161458335,0.05455810546874999,0.040528700086805536,0.07077907986111112,0.0,0.33848334418402776,0.059829372829861095,0.029291449652777767,0.05682725694444439,0.08526801215277775,0.029557291666666607
CART,7,0.08098591549295775,0.10900473933649289,0.9792245049046826,0.09292929292929292,0.6601494238542691,0.08358723752030726,0.03606083407773289,0.15987320371935754,0.03374109407076427,0.16206496799903386,0.03285835044076799,0.14157227387996624,0.0,0.04653785774664894,0.017584832749667843,0.08756068107716453,0.11769593044318312,0.08260958821398381,0.3142832991184639
CART,8,0.13247863247863248,0.4105960264900662,0.9553208773354996,0.20032310177705978,0.7620529286212948,0.215269715417283,0.037242660370102244,0.11778351789043366,0.09656274567058236,0.08870038858066971,0.0064926663821566425,0.13151479077289366,0.0011219424541227597,0.05171604411401358,0.08593090900923157,0.20394308303946454,0.14186765795916523,0.2790638125828261,0.08882639653197366
CART,9,0.11581676750216076,0.5817655571635311,0.8574339814893437,0.19317635752042286,0.7368740739924902,0.21305285257735695,0.10707836687983932,0.11097879478970218,0.044171417920266576,0.08387822902504274,0.037430704793649364,0.13423325731327568,0.0,0.15637515898425508,0.0857840664883119,0.178008639971931,0.10107199245647118,0.14889522389368878,0.07572343318275507
CART,10,0.3003003003003003,0.29850746268656714,0.9807581613354165,0.2994011976047904,0.716959497339666,0.2896477434503522,0.022291664032726,0.21736630358066603,0.2857305107428358,0.15822036897803265,0.03846871393835558,0.19604365409304236,0.007597223763877459,0.12429973129820863,0.16406305172352406,0.1793790119397421,0.020177075108747798,0.05010126057371913,0.05687298552193691
CART,11,0.11717495987158909,0.29918032786885246,0.9682168834031298,0.16839677047289503,0.7179933026566566,0.17336576305251944,0.029720400716307386,0.1408156827801293,0.1964349298284696,0.02418382713299183,0.07804580084651372,0.04302365783025177,0.001012341278681239,0.12523608821563828,0.08574453107596344,0.06682432613054134,0.07499122298953005,0.11897687680997997,0.1001196703051905
CART,12,0.05162876459741856,0.5526315789473685,0.9141395299259181,0.09443507588532883,0.743203651490771,0.1496237536127288,0.06279122509566698,0.1522843321687719,0.09328893442622958,0.009565976887933415,0.14170888202096216,0.03347588013974745,0.0005485756517065399,0.12851955119591513,0.18849082907820486,0.0644801464660038,0.14604424213921,0.22450702096210703,0.02210981590970178
CART,13,0.055299539170506916,0.3037974683544304,0.9695341675948372,0.0935672514619883,0.6816719131397474,0.11949910506782531,0.03383643184063903,0.029105782548476556,0.11920403393351806,0.08562370152354568,0.0,0.2253427977839335,0.0,0.09077995152354575,0.12060335872576175,0.09873874653739619,0.21256708795013854,0.15620671745152354,0.03448753462603889
CART,14,0.04257475924987329,0.5233644859813084,0.7968370458421624,0.07874384813686432,0.6715900555141889,0.10296839408748241,0.13881161431049413,0.11540137798429742,0.09071623137317733,0.05812049351065531,0.08807562890562415,0.17267905784329432,0.0,0.3192805640121775,0.04192757570902093,0.018892805640121812,0.1142781605511937,0.02413875981413236,0.11705015221919565
CART,15,0.16941391941391942,0.44258373205741625,0.9535168195718654,0.24503311258278146,0.7966007014579934,0.2541244071622634,0.04169860843622655,0.22940441183606525,0.09518347065731114,0.012926893178443533,0.09384720645180074,0.07784250929241757,0.0,0.23681253093428828,0.1711840917692957,0.06716937917916169,0.059398394813714894,0.027438786502460143,0.08557845905998582
CART,16,0.06205107741420591,0.6492693110647182,0.7911644863821574,0.11327627026042617,0.7496008573065787,0.15311464246976353,0.13088188594399594,0.04956062132277197,0.1658239852567478,0.0406912616469403,0.009057713880176732,0.12334344451821158,0.0007230260296238855,0.31829697122318634,0.112687381241272,0.03780161855268882,0.03825370298299038,0.015994311027677944,0.2008065291545523
CART,17,0.0252486610558531,0.532258064516129,0.850976714396816,0.04821037253469686,0.7152933753849445,0.09072091285526766,0.08606615314615627,0.27796339799774233,0.10071303733857495,0.21115358632502462,0.022862827480703007,0.20040838385467286,0.0026214582398088825,0.028148761555258184,0.0291550769043021,0.11101843175369694,0.23222105029179613,0.15050649186501094,0.08397505240998768
CART,18,0.27262813522355506,0.6821282401091405,0.9384790546111264,0.38955979742890534,0.892650364634466,0.4062922283046295,0.048509387875588394,0.2536944849115505,0.03098730489073882,0.02779188345473471,0.03648085327783564,0.052808324661810624,0.0,0.19233694068678456,0.22589115504682625,0.07682341311134241,0.036196149843912596,0.09482903225806452,0.07769053069719042
