Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11
RF,1,0.12091503267973856,0.13857677902621723,0.9775861294524547,0.12914485165794065,0.8514806573616039,0.11812618503442275,0.021092596905999367,0.0038571964721336284,0.002655399699756078,0.0036513651717020148,0.00022565209232501272,0.0005383280165134341,9.382623381570809e-07,0.006374554325389381,0.004132576468380567,0.002844224995308675,0.001770735597673201,0.016864092700319033,0.001643718333646138
RF,2,0.5662650602409639,0.24671916010498687,0.9832750989983694,0.3436928702010969,0.936575096937584,0.3667372575377615,0.015832568195312886,0.005434358736972134,0.0028073054748979807,0.0014150850762389977,0.02546451766752238,0.00331678099005468,4.4408920985006264e-17,0.01501648220623102,0.040426573524667234,0.002739412812635944,0.0035845642385221588,0.018492053472485302,0.002406261835626866
RF,3,0.45689655172413796,0.21031746031746032,0.9878726161821885,0.28804347826086957,0.9062201711894949,0.3046716394269919,0.011905759789184811,0.002007770682208032,0.0009264885196437645,0.00014046472537392328,0.00893979787959578,0.004927494299433133,4.1333416007649503e-07,0.012360413609716158,0.0023354068930360405,0.0009156040534303855,0.002332513553916016,0.02684012923581407,0.0008166105221099728
RF,4,0.23529411764705882,0.3310344827586207,0.9771351107094441,0.2750716332378223,0.8622038808892256,0.26776898030647905,0.0195645334387709,0.000536029226505419,0.0012688964474678378,1.1022927689730012e-06,6.661338147750939e-17,0.027945798689846278,0.0,0.00030139833711260164,1.9683799445702198e-05,0.0035574137062232224,0.0017797304106827784,0.03320027084908039,0.0008435689090450671
RF,5,0.19182948490230906,0.5625,0.974040360256225,0.2860927152317881,0.9433501652812212,0.31845560245616433,0.024080617562170614,0.01255505350772892,0.006277883472057111,0.002025089179548156,0.00158573127229491,0.00426004756242575,1.4863258026154291e-05,0.017980975029726575,0.0037461355529132324,0.003514149821640955,0.009809393579072578,0.025829013079667073,0.002097384066587371
RF,6,0.3219178082191781,0.5164835164835165,0.9918164129563923,0.3966244725738397,0.9465418088785746,0.4038995339332487,0.010246874120806156,0.0011349826388888707,0.01166449652777779,0.00020914713541666518,0.00021538628472221876,0.0008458116319444598,0.0,0.0022197808159722054,0.0019373914930555624,0.0020507812499999554,0.0012510850694444687,0.005552842881944397,0.0009497070312500134
RF,7,0.41414141414141414,0.1943127962085308,0.9894503053858967,0.2645161290322581,0.8390989613587176,0.27899194820309425,0.01581915990935658,5.7964014007994e-05,0.003191643521313803,7.245501751018679e-06,0.00031397174254315096,0.00030793382441738346,0.0,0.008320251177394034,0.0010964859316507703,0.00035019925129817773,0.0011375437749063578,0.0005252988769472555,0.0009262166405024086
RF,8,0.5521472392638037,0.2980132450331126,0.987137828323856,0.3870967741935484,0.9270020265094586,0.3998284267687193,0.017998052172080867,0.013420632959726887,0.0029655668111677304,0.00033579659037308307,0.0006044338626715273,0.0023490038408840565,2.695357247106678e-06,0.014101659890838048,0.003923092473214873,0.006779497315873373,0.014036522090698745,0.03802699849509221,0.0037348666921227956
RF,9,0.19509476031215162,0.2532561505065123,0.9474399252780844,0.22040302267002518,0.910053389810178,0.19544669881722387,0.04400232634293687,0.02059021534143244,0.0015384193675716863,0.0008247445287488109,0.0011842682338494947,0.0012068549625017023,1.0964431385485085e-06,0.019439607911933776,0.009828406648831223,0.0027693960791193907,0.003116858909696996,0.05419060567518976,0.0028325512038946286
RF,10,0.6179775280898876,0.3283582089552239,0.9879532933146945,0.42884990253411304,0.9510232843785409,0.44512080292500256,0.012044907382913793,0.005455107114209823,0.0016239180197746617,0.0006950852494654214,0.025417513995321307,0.007341548668952291,1.7550436561863946e-05,0.04120616317717356,0.022361329560757447,0.0025662801242353427,0.002566908421486902,0.006734760126580963,0.0035374810725453234
RF,11,0.41899441340782123,0.3073770491803279,0.9879656160458453,0.3546099290780142,0.9146643000479946,0.3529506505312975,0.01237801025800231,0.004537580752951698,0.0009539763867230988,0.0005901537090666764,0.007529338382713325,0.0006108264646915052,1.693027400362368e-06,0.033973535308532046,0.03722726665181553,0.0013644909779460868,0.0006135887725551958,0.011510715081309986,0.0006707061706394013
RF,12,0.3722627737226277,0.3355263157894737,0.9900335767201407,0.3529411764705882,0.9528428645764107,0.34840983866340497,0.011739025366996022,0.003313457403923703,0.0022196654125235414,0.000849402042461711,0.004566480784735249,0.0014841440472991075,-3.3593120130070986e-07,0.008072090835796786,0.04838198736898682,0.011118818865896274,0.0033685501209352207,0.07849956328943834,0.0044635178715399125
RF,13,0.3103448275862069,0.22784810126582278,0.9933826901657603,0.2627737226277372,0.8918498486081285,0.2626602388570949,0.012601528023519513,0.003290772160664801,0.0046615304709141546,0.004936807479224448,0.0036725242382271706,0.0036556440443213266,-1.7313019390563512e-06,0.01074662396121886,0.06033327562326869,0.009936807479224452,0.011653826177285342,0.07723208102493077,0.00966153047091418
