Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
LR,1,2,4,0.32829181494661924,0.5642201834862385,0.9976331630272756,0.41507311586051737,0.9288386664210152,0.42929962768912666,0.004695269678226833
LR,1,3,4,0.37278582930756843,0.6576704545454546,0.997978548835882,0.47584789311408027,0.9283786402340257,0.4942466516482407,0.004701175057443456
LR,1,4,4,0.2633495145631068,0.6011080332409973,0.9985474646391774,0.36624472573839656,0.9093688429350453,0.3972716422983802,0.004222198772956168
LR,1,5,4,0.24694708276797828,0.5465465465465466,0.998798289690483,0.34018691588785044,0.9108283282388259,0.3668708859397678,0.003958631974640736
LR,1,6,4,0.2749658002735978,0.4843373493975904,0.9987676794111363,0.3507853403141361,0.8838661845504419,0.3643666904192606,0.004158073668469739
LR,1,7,4,0.2823960880195599,0.6398891966759003,0.9988796542397352,0.39185750636132316,0.9404160785043683,0.4246328776993912,0.00446599669428566
LR,1,8,4,0.3400286944045911,0.5697115384615384,0.9990573691896916,0.4258760107816712,0.9016203410644655,0.4397010157192341,0.004068573436369003
LR,1,9,4,0.40633608815426997,0.7057416267942583,0.9992016750413933,0.5157342657342657,0.9487701951892467,0.5351548024003427,0.004016923770372328
LR,1,10,4,0.24798387096774194,0.6119402985074627,0.9993755322168606,0.3529411764705882,0.8510567462294905,0.3893033947417331,0.0037503524031390137
LR,1,11,4,0.32763532763532766,0.5203619909502263,0.9995668396774855,0.4020979020979021,0.8868948825482796,0.41269984255020864,0.003662725935194447
LR,1,12,4,0.3289817232375979,0.5407725321888412,0.9996061991182755,0.40909090909090906,0.8527033282772005,0.42160430795414977,0.0038793221727934243
LR,1,13,4,0.358600583090379,0.6373056994818653,0.9997035492312725,0.45895522388059706,0.9430497451485095,0.4779246058629802,0.0041825636630836265
LR,1,14,4,0.26,0.4928909952606635,0.9995886298515904,0.3404255319148936,0.8772075184195942,0.35779779168699516,0.00460169750835834
LR,1,15,4,0.23893805309734514,0.5192307692307693,0.9996056603723312,0.32727272727272727,0.8683526172022473,0.352058045278411,0.004922133996398037
LR,1,16,4,0.20135746606334842,0.6357142857142857,0.9996350935253489,0.30584192439862545,0.8512411938080394,0.3576483291358924,0.005540248937591215
LR,1,17,4,0.2875457875457875,0.5508771929824562,0.9995474031709791,0.3778580024067389,0.8174294324863763,0.3977973738428804,0.006432380614014937
LR,1,18,4,0.28627450980392155,0.5637065637065637,0.9995560011058086,0.37971391417425226,0.7949574667971455,0.40152025833374394,0.007550240213274014
LR,1,19,4,0.28888888888888886,0.47039473684210525,0.999575703789966,0.3579474342928661,0.7373995885638588,0.368435965747484,0.008026417016073003
LR,1,20,4,0.311787072243346,0.5795053003533569,0.9996245320310866,0.40543881334981463,0.8054514725820134,0.42490035407745114,0.008714388495428268
LR,1,21,4,0.3131115459882583,0.47477744807121663,0.9995809796505307,0.37735849056603776,0.7780749843949508,0.38536266125578705,0.009870458483031213
LR,1,22,4,0.3962962962962963,0.5721925133689839,0.9996351345872891,0.4682713347921226,0.7598659968041597,0.47601683226623637,0.011046298068534027
LR,1,23,4,0.3828264758497317,0.5587467362924282,0.9996103849836006,0.4543524416135882,0.8073852761903711,0.4623108555955139,0.012409617518517565
LR,1,24,4,0.3240901213171577,0.4947089947089947,0.99958729522811,0.39162303664921466,0.8360420831326566,0.4002166688167963,0.013699421860432218
LR,1,25,4,0.2829827915869981,0.5627376425855514,0.9995328319062461,0.37659033078880405,0.8443076228052468,0.3988510735010084,0.015364913580146234
LR,1,26,4,0.3731931668856767,0.5288640595903166,0.9994418772496935,0.43759630200308164,0.7758512146302242,0.443993253489189,0.017255100579267664
LR,1,27,4,0.24570815450643776,0.39078498293515357,0.9992829179556667,0.30171277997364954,0.6513289562971472,0.3095284089724473,0.01911756134814611
LR,1,28,4,0.1618181818181818,0.2875605815831987,0.9990716258059419,0.20709714950552646,0.5223341916321371,0.2152779919789735,0.021107371667609252
LR,1,29,4,0.15984015984015984,0.34408602150537637,0.9985185529908166,0.21828103683492497,0.591803996919049,0.23385780983661592,0.023418081324998112
LR,1,30,4,0.11661073825503356,0.34663341645885287,0.9982986574272337,0.17451349654739487,0.5910773982627229,0.20036219882770878,0.025515736210457617
LR,1,31,4,0.07649733148843645,0.3827893175074184,0.9968536906754941,0.12751235584843493,0.6622551383489903,0.1700841199273681,0.027162608032772092
LR,1,32,4,0.03040247080397645,0.31126482213438733,0.9939340144086215,0.05539435505143762,0.5851488332792858,0.095758500933623,0.028853773456649714
LR,1,33,4,0.009859111124933909,0.26416666666666666,0.9820554488221883,0.01900878481695799,0.5807781706005963,0.04806848568660641,0.029218479860770984
LR,1,34,4,0.009244459803879217,0.25721153846153844,0.975191321122979,0.017847462574538175,0.5336020789458329,0.04470768981220708,0.030250609389848578
LR,1,35,4,0.007027499628829245,0.2713375796178344,0.9666762466730304,0.01370017205615141,0.5470098769131777,0.039031566328809914,0.031982811873330484
LR,1,36,4,0.0072637534048844085,0.2831215970961887,0.9628157018064321,0.014164113040517536,0.5262076134893146,0.04022366509946581,0.033460404454436994
LR,2,3,17,0.19679054054054054,0.6619318181818182,0.9957589161850856,0.3033854166666667,0.9175857478876812,0.3594540323136893,0.005522151184602723
LR,2,4,17,0.09357720119098256,0.6094182825484764,0.995605645353144,0.16224188790560473,0.90931694670152,0.23764652434273736,0.005505837874485909
LR,2,5,17,0.06816143497757847,0.6846846846846847,0.9945157073409862,0.12398042414355627,0.920278021953366,0.21490726805305027,0.006374946462321326
LR,2,6,17,0.08903821923561529,0.5108433734939759,0.9960711499505581,0.15164520743919888,0.8992285409514024,0.2121161309839671,0.004848621336870789
LR,2,7,17,0.046087373979836775,0.5318559556786704,0.9935263703141187,0.08482438701126574,0.9312626433059589,0.1551959546487999,0.007226649291142588
LR,2,8,17,0.13125406107862247,0.4855769230769231,0.99771201817404,0.20664961636828647,0.889958796815024,0.2516384277300084,0.0033286047799655906
LR,2,9,17,0.18518518518518517,0.5502392344497608,0.9982707762629458,0.27710843373493976,0.9105967009802738,0.31855454238641817,0.0027072253953267407
