Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
RF,1,0.2713910761154856,0.790519877675841,0.9965293977082645,0.4040640875341931,0.9620477406476127,0.46199018676940373,0.0031369572225333217,2.23725263004404e-05,0.06194553447045521,0.00039674144451153916,0.00020164945455851678,0.00010883610937613142,0.00029695522972645884,0.00040626608767126984,7.741368848488417e-05,0.0006688020461663946,1.578538990958389e-05,1.0088407085939722e-06,0.0001114472265040467,5.073875328087674e-06,1.9286660604356244e-06,2.1304342020878055e-05,5.934357109271815e-07,2.2204460492503132e-17
RF,2,0.15810381355932204,0.8480113636363636,0.993487756347753,0.26651785714285714,0.9624804673545896,0.36454975328045486,0.007077923270014386,0.00021537655827699175,0.06955531240355753,0.001545184187638471,0.002451977480384215,0.001643801026849534,0.0009856072721151632,0.002426259480589943,0.0011749385106004872,0.00030997203752023415,6.485611948108261e-05,2.8149519774767207e-05,0.0002621365579028367,4.568451963455899e-05,3.8156159694691104e-05,0.0004910735160714496,9.351999925355514e-07,0.0
RF,3,0.17161520190023752,0.8005540166204986,0.9971626240022281,0.28264058679706605,0.9617199800944075,0.36988161234924294,0.002648612361372159,3.7488700929766415e-05,0.04068528861053713,0.0006462664643594795,0.0008888736441115652,0.0003042274664255551,0.0002475706998966487,0.0004068068827479454,0.00017142303719011042,0.000379003099173536,2.635104597108473e-05,6.661338147750939e-17,0.0001455965909090917,3.2686596073805417e-06,9.725271177729588e-06,2.8126614152901296e-05,5.851304235560129e-06,0.0
RF,4,0.12494236975564776,0.8138138138138138,0.9966638070727291,0.21662669864108713,0.965780189476165,0.3181039003104662,0.0044137063923071675,5.03372441892358e-05,0.04703370907221387,0.0003474497586727132,0.0072993608090790255,0.00046101549251456044,0.00010911518481278026,0.003000821049562141,0.0003037116044228627,0.0006482454861456377,1.350511429458745e-05,1.5346720788844693e-06,0.00018538838713626492,9.975368513015503e-06,0.0,0.00014932359328112543,0.0,0.0
RF,5,0.13587406793703397,0.7903614457831325,0.9964007625811816,0.2318840579710145,0.9150178572954826,0.32681185550646447,0.0031773674912913604,1.0460911361787062e-05,0.047927927927927924,0.00022382743103463998,0.0005590274959644149,5.537068600134365e-05,2.4709394078725744e-05,0.0017641064487911474,3.7334631929231143e-05,0.0,1.2625237850727444e-06,1.0821632443258621e-06,5.2124196268321654e-05,1.8036054072245732e-06,0.0,3.913823733643351e-05,0.0,0.0
RF,6,0.09008737571557698,0.8282548476454293,0.9951842320318884,0.16249999999999998,0.9533643807381822,0.2722310695347249,0.0061658659699596555,0.00019857744229925255,0.032098301640296034,0.0012041225141529387,0.0007763100595151063,0.0012228189867904637,0.0004113223980257485,0.0045194367832776415,0.0012163158658730522,4.761213528725605e-06,7.548265350565408e-06,1.0451444330872305e-06,0.0002817244883146497,4.087676005215535e-05,1.161271592331481e-06,0.00010939178400344307,2.322543184662962e-06,0.0
RF,7,0.1799787007454739,0.8125,0.9976131820796884,0.2946817785527463,0.9253663595037767,0.3817461063642759,0.0021797995642441944,5.064417860505266e-05,0.06641876597018123,0.0004634709678408955,0.0007341871225665208,0.00037154411031221636,0.0009504224184897047,0.00021884423845730527,0.00019689842772847578,3.836680197299991e-06,9.208032473173589e-07,6.599089939451907e-06,0.0003876581671410806,0.00011203106176282951,-2.2204460492503132e-17,4.665403119978873e-05,-6.661338147750939e-17,0.0
RF,8,0.11716621253405994,0.8229665071770335,0.9961582412641778,0.20512820512820515,0.9413883014497221,0.30967441713445476,0.004430960641430116,0.0001446930473373076,0.05332990477071005,0.0012142890162722298,0.0013244267751479689,0.0009298724112426048,6.414108727814671e-05,0.0012949565458580058,0.0008947392751479822,4.0564903846185274e-05,6.818602071057001e-06,3.351516272220856e-06,0.0002602625739644759,2.3691752958621137e-05,0.0,0.00022651627218934768,3.467085798858349e-06,0.0
RF,9,0.20353982300884957,0.6865671641791045,0.9991650685737626,0.31399317406143346,0.9427730808323379,0.3735393535854847,0.0015187624255340673,5.299787092787334e-05,0.0021112154025777485,0.0002821592912249926,0.0020020718390146184,0.0005315812366933237,2.403791121998733e-05,0.0004504246697648373,0.00024335523454135365,0.00042455529864244835,2.289324878090859e-06,5.723312195282659e-07,0.02388063460085621,4.395503765937114e-05,0.0,8.275909434305451e-05,8.012637073173678e-07,0.0
RF,10,0.154292343387471,0.6018099547511312,0.9989652281184377,0.2456140350877193,0.9171227549514283,0.3043766120110807,0.0016202380257677072,9.801737580747983e-05,0.0611465062745971,0.0003529615603573566,0.0012445236504046386,0.00018761911833862222,4.554342714289117e-05,0.0007643375163980837,0.0004638499047052491,2.9702235093020947e-06,-1.4851117546621494e-06,9.900745030710923e-07,0.0005267196356525394,3.267245860247847e-05,4.9503725154664835e-06,0.0001534615479814594,2.4751862577554463e-06,0.0
