Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11
GBDT,1,0.13785557986870897,0.23595505617977527,0.9731392894039438,0.17403314917127072,0.859063667006531,0.16738747199151585,0.020848500617137482,0.011330573278288614,0.007520289923062506,0.0025791658847813537,0.0009170341527491299,0.0008003377744417283,7.036967536233618e-07,0.007927378495027204,0.008995121035841635,0.006779414524301019,0.002194830174516782,0.02049376055545129,0.003223400262713416
GBDT,2,0.3771551724137931,0.45931758530183725,0.9769392033542977,0.41420118343195267,0.9150308527171156,0.4045902736603701,0.01781796952787249,0.021476805678295442,0.0020269606811710306,0.0016172200479737553,0.09056165747871345,0.004316654743368597,1.4027409558359238e-06,0.018181346350769446,0.08469286986772155,0.002046458780457061,0.0048280940958633336,0.013020101277897012,0.0011221927646621666
GBDT,3,0.4797297297297297,0.28174603174603174,0.9880577670801703,0.35500000000000004,0.9063451548347577,0.3620574346385272,0.010778554822179492,0.004329399769910735,0.0023754314175296054,0.0016824078092601447,0.04093144852956383,0.004054945887669614,0.0,0.05833571000475337,0.007382768098869619,0.0015675698018063234,0.009975682173586641,0.040155689200267373,0.0023011690467826364
GBDT,4,0.27887323943661974,0.3413793103448276,0.9798011748757343,0.3069767441860466,0.842272562207907,0.29839756855993294,0.016365995568768634,0.004609001007810409,0.014297996976568328,0.005081727135298442,0.00027462836986640314,0.07656856261022918,0.0,0.004069664902998138,0.001662257495590702,0.011663202317964139,0.014371693121692952,0.050547367094986015,0.001319444444444362
GBDT,5,0.36681222707423583,0.4375,0.9878148629774117,0.39904988123515445,0.9376993856642847,0.3945006850665489,0.011240544212212327,0.03913816884661121,0.010101070154577906,0.0009512485136742299,0.018681688466111845,0.004564209274673048,1.1177170035692186e-05,0.03593590963139124,0.006687752675386483,0.002932580261593354,0.028570868014268735,0.041124019024970336,0.003444827586206922
GBDT,6,0.25,0.42857142857142855,0.9903284880393728,0.3157894736842105,0.9355979980440661,0.32279023533613066,0.010323086924257478,0.007809787326388906,0.01445041232638895,0.002548014322916714,0.008496907552083344,0.0075309244791666565,0.0,0.025695258246527786,0.03305826822916676,0.012519802517361156,0.03193766276041667,0.024523654513888958,0.00799858940972229
GBDT,7,0.12035010940919037,0.26066350710900477,0.9741810105496946,0.16467065868263472,0.8058777649359079,0.165307446674546,0.020039486236190753,0.006516121241395978,0.0026059654631082952,0.0,0.008484482550416606,0.003313609467455603,0.0,0.030392464678178976,0.006226301171356119,0.0013066054824296459,0.008996498007487053,0.0032435696171960516,0.020694360584470516
GBDT,8,0.23022847100175747,0.4337748344370861,0.9725155699972922,0.3008036739380023,0.9102237068881929,0.30327612846089025,0.020585017204688364,0.04331528941398435,0.002696255699557515,0.00044585701129797874,0.0010008759911052767,0.001577233215785756,0.0,0.005242020619482912,0.0016149682172457158,0.0030733811010534183,0.016841939758765488,0.04678982951865407,0.006002111363176877
GBDT,9,0.3164179104477612,0.15340086830680175,0.9654411140358325,0.20662768031189085,0.8844396114450809,0.20434510507988513,0.02953143696856972,0.023933380114907244,0.005245712907328693,0.0035286829525021267,0.008005350642515707,0.012534099381606056,0.0,0.041428226832156564,0.030499210560940338,0.008876913293276601,0.020625740099118484,0.0876933029253103,0.007548243498092244
GBDT,10,0.4872611464968153,0.45671641791044776,0.9858975413206151,0.4714946070878275,0.9363822070288073,0.46460551773247616,0.011591355093615007,0.009620550346506019,0.0043709802065423405,0.00015355584829563896,0.0743974105775937,0.008172388011250776,0.0,0.09389994575700403,0.03011349142688411,0.004994083534214044,0.006309821752069756,0.008323744819165669,0.00314379001468128
