Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
GBDT,1,0.240205223880597,0.7874617737003058,0.9959763771463683,0.36812008577555394,0.962551223647594,0.43360287182366936,0.0033863760264761975,0.00028352874676751405,0.1262403028895867,0.011878135009591295,0.001443888428151907,0.00047362104085648673,0.002373950546034975,0.0023830301124114993,0.0003146544498033865,0.005510718190733144,1.3945739205678542e-05,6.23107496311448e-07,3.783152656877675e-05,5.340921396701503e-07,1.9583378457976864e-06,0.0002865107612147311,0.0,0.0
GBDT,2,0.24281867145421904,0.7684659090909091,0.9963336424964525,0.369031377899045,0.9556212948610648,0.4307396653110656,0.003261480271046693,0.0002639134378886743,0.12191924080464607,0.0030257928157936486,0.002912072496703422,0.0005188021958495881,0.00025212991798295725,0.002625901298992828,0.0005774859953801004,2.342675981259479e-05,8.463559932336828e-06,0.0,0.0,4.6759999627887795e-08,9.351999925577559e-08,4.161639966704378e-06,2.2204460492503132e-17,0.0
GBDT,3,0.13707018370230806,0.8060941828254847,0.9963212752912324,0.23429951690821257,0.9432638415449801,0.3315061811939177,0.0029392184790580527,0.0001012880940082228,0.08183367768595037,0.0023032751162189724,0.002597050942665291,0.000839157735020657,5.689888946274202e-05,0.0010850335743801676,0.00043448960485530374,0.0020773138881714725,7.061918904938125e-06,1.6141528926816307e-07,3.1879519627908694e-06,1.0572701446220911e-05,3.4300748966709094e-06,9.28137913214222e-07,8.070764461187707e-08,0.0
GBDT,4,0.14081524616199048,0.7987987987987988,0.9971233846698531,0.23942394239423942,0.9464363889233984,0.33466810622945814,0.002542793485972063,0.00017618035466271387,0.10375012469210643,0.0006757161163588599,0.01010612257425898,0.0004105247811174051,2.5015154886753878e-05,0.016025659717159878,0.0002090223371521427,0.00037046983985697943,0.0,0.0,8.440696434219852e-06,9.208032473839723e-07,0.0,0.00010926865202078861,0.0,0.0
GBDT,5,0.11453248216297408,0.7349397590361446,0.9959121408423176,0.198180636777128,0.9267773143212304,0.2891246436479257,0.003323996409222196,0.00036766496225970613,0.1307851996140285,0.0017374130887645167,0.0008228949670391783,0.002652021390760262,6.384763141531469e-05,0.010137885633381184,0.0020983145307470917,3.9408778147653754e-05,-2.70540811073694e-06,0.0,8.017026035054276e-05,8.837666495420393e-06,0.0,0.004782800818836886,0.0005267429591754747,0.0
GBDT,6,0.14369215781782757,0.817174515235457,0.997149915388113,0.2444076222038111,0.9404148398880533,0.3419683757916098,0.002430265525707334,0.00027034402670917946,0.07212553345913775,0.005555871679489011,0.0013547394396864697,0.002024328639860662,1.0335317172271986e-05,0.0173510233705908,0.0016317027144723052,0.0,0.0,0.0,0.0,0.0,0.0,2.0322252866855628e-05,0.0,0.0
GBDT,7,0.23441926345609065,0.7956730769230769,0.9982799569251648,0.362144420131291,0.9389904240719088,0.43133197542387636,0.001529864261104646,0.00012676391372081763,0.13555374805288492,0.004684739988183084,0.0020378910536291706,0.00014149676567865033,0.0038159621242931816,0.0015664397909777694,0.00019582415727323888,1.534672078973287e-06,0.0,1.5039786373716169e-05,2.747063021317775e-05,0.00011924402053400395,0.0,6.0926481534129274e-05,0.0,0.0
GBDT,8,0.14736842105263157,0.7703349282296651,0.997177042249259,0.24740683826354204,0.9389301837341685,0.33618543259048594,0.0022928658294690324,0.0003090329142012127,0.11945220044378699,0.014353272928994087,0.0006954974112426404,0.0006443001109467161,0.0,0.010794193786982275,0.0014108727810650645,0.0,0.0,2.2204460492503132e-17,5.778476331430582e-07,2.2204460492503132e-17,0.0,4.044933431959219e-05,0.0,0.0
GBDT,9,0.10122282608695653,0.7412935323383084,0.9980961348075019,0.1781231320980275,0.9549584539002407,0.2734903978396739,0.0016120707177774277,6.902314507450935e-05,0.04890833543188113,0.0019856459330143796,0.00886312126553881,0.0002240104393214537,1.0301961951464379e-05,0.004207435727204056,0.0005979716581580252,1.6483139122258626e-05,0.0,0.0,1.6712071610069933e-05,1.259128682962185e-06,0.0,3.2165014537244294e-05,0.0,0.0
GBDT,10,0.10550458715596331,0.6244343891402715,0.9984130120347643,0.1805101373446697,0.8961465671811631,0.25623955486792227,0.001471781455219105,0.0001405905794410689,0.09667830004207816,0.0015821390559639381,0.005923120714833807,0.0003831588327021018,-4.950372515510893e-06,0.0015395658523303713,0.001439073290265136,0.0,0.0,0.0,1.1385856785728343e-05,5.940447018648598e-06,0.0,0.00023316254548158,0.0,0.0
GBDT,11,0.07885824866956942,0.6995708154506438,0.9978643875260325,0.14173913043478262,0.8697745225708998,0.23441738035298537,0.0018179765522598683,0.0002551135316639641,0.01773509960893511,0.0020650682827952015,0.0006490448598513332,0.000574926803300535,0.0,0.009881452058721107,0.00015396900145363545,0.0012217194570135702,0.0,0.0,8.189840502881296e-07,2.2204460492503132e-17,0.0,2.2204460492503132e-17,5.1595995167974526e-05,0.0
GBDT,12,0.05188679245283019,0.7979274611398963,0.9970835377821393,0.09743751977222398,0.9241052557361712,0.20302910308784133,0.0025278986723562213,3.831347050045064e-05,0.16573117942861354,0.0018983587835472936,0.004499622391276303,7.699533975573658e-05,0.0,0.00896387850209066,0.004992908323969836,0.016884820129307965,0.0,0.0002471955644789858,0.0,0.0,0.0,3.6839875481309294e-07,0.0,0.0
