Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
NN,1,0.2061164641809803,0.7522935779816514,0.9953186695645247,0.32357777047024006,0.9574089211412237,0.39229145974898194,0.00498308557045454,0.00010773825331094056,0.06776276220585975,0.0005433794086709076,0.0028462957001130773,0.0016052732697268812,0.012816045314750824,0.0008873644184848262,0.0022384691732400875,0.010673831413815971,0.0003860299299299763,0.0009027937469678448,0.015354466568057279,0.006625472337736071,0.0022243454033210597,0.0007472245753595396,0.0007584405102952774,5.717753074352405e-05
NN,2,0.21210873146622736,0.7315340909090909,0.9958342251500234,0.3288633461047254,0.9422093439525404,0.39253737891697216,0.004439863480361403,0.0004192969166455063,0.053727473370180176,6.794227945638998e-05,0.014823060161415458,0.005612415715100583,0.012029851583761086,0.003836470929308078,0.007535607739715067,0.001804842465561185,0.0003373266373013051,0.004084111887327069,0.019941269440469766,0.001931141224550781,0.003945328208437316,0.0054419287564645424,0.0014368412685052067,2.1462839828201298e-05
NN,3,0.12055715658021134,0.6952908587257618,0.996245844027488,0.20548505935325417,0.9413956709635858,0.2885260504736757,0.003643782579949448,0.0025504019240701224,0.05503954674586764,0.004354903796487486,0.031539336905991644,0.003103814243285008,0.008582733406508215,0.0168289159349172,0.004155555914256137,0.006287650116218946,0.0006597446410123497,0.002324622288223055,0.0217149365637912,0.0019965457128098716,0.003295252776342861,0.004788828447830462,0.0013901084710742806,-3.9143207645198075e-06
NN,4,0.09446130500758726,0.7477477477477478,0.9957940139166905,0.1677332435163355,0.9327105371372466,0.2648441103498932,0.004710501394871746,0.001395016919759806,0.06298248171821894,0.0002498446144521438,0.02368213871900935,-0.0020903768387288356,0.012209697592866919,-0.001074116988052398,0.010808541984791531,0.010107350311922203,-3.3762785736657365e-05,0.00031629591547044367,0.010995311576798983,-2.0411138649834017e-05,-0.0001632891091994937,0.0022610323739076232,6.675823543413894e-05,-2.8851835083987253e-05
NN,5,0.0,0.0,0.9993126168758354,0.0,0.8963392244715281,0.0,0.012810461611837425,-0.00016827638449248283,0.03915843771699632,0.00840335831326835,-0.009216603991378691,-0.0020710800890980873,0.01583114646177717,0.020119398677957267,0.0002268935602270261,0.0005309814318823936,-0.00036667297928547613,0.002801720639558569,0.008675702729756818,0.0006372137903670084,0.0,0.002449296142989832,0.002687191696200708,8.476945413882219e-06
NN,6,0.061750333185251,0.7700831024930748,0.9932701127064709,0.11433271643018712,0.8788992572719555,0.2168994599140195,0.0074650775792250695,0.004385890550152571,0.06173377848744384,0.00314449121788376,0.04779573232689811,0.01703178980984186,0.006844650892727655,0.11239134852663676,0.048190680795471175,0.0004191029176950023,0.000575293946871902,0.0019058789374365892,0.032871824647989635,0.004641602554797642,0.0020158513572362978,0.008373000435476929,0.001855828131804449,0.0
NN,7,0.07110958433527997,0.49759615384615385,0.9957028426440868,0.12443642921550947,0.9151464633272329,0.186941693440271,0.004616990513000738,-8.041681693662372e-05,0.10918869560546648,0.0004705304594040616,0.02830871463540021,0.00013413033969962297,0.009758519348378281,0.028106291388187633,5.033724418928021e-05,-8.747630849976762e-05,0.00011540734033661515,0.0027372411200037084,0.0011856876481918244,3.253504807356755e-05,0.00021132434527058042,0.0001800170348601027,0.0005685960052486339,0.0
NN,8,0.09719409892970785,0.8038277511961722,0.995384413641846,0.17341935483870968,0.9442978336870157,0.27855879674094924,0.00439011503193919,0.0009880038831359794,0.04932461168639037,0.0011611270340234681,0.017462555473372676,0.00336688701923058,-0.00047730214497059275,0.005087601701183275,0.004340329142011656,0.0038008505917157764,1.271264792745974e-06,0.0011064626479288186,0.026065319896449578,0.0012567030325442597,0.0,0.01135031434911229,0.00020062869822472517,-5.316198224880608e-06
NN,9,0.06179245283018868,0.6517412935323383,0.9971490484135611,0.1128823782852219,0.8512120849298728,0.2000984259310198,0.002954863016668478,0.00012087635356330395,0.05176609967720518,-0.00019905679815026555,0.0299162107094618,0.0007528444861609973,0.010844074082552991,0.005625214624207309,0.004018223026029588,0.003948169684759884,7.211373365878515e-06,0.002487694878780222,0.013419907969139878,0.0012120830567065033,7.875277580637885e-05,0.002258991323458659,0.00029761223415212255,3.548453561037501e-05
NN,10,0.011741848285183308,0.6289592760180995,0.9850787667849625,0.023053321170909694,0.7905858619964679,0.08453613917638274,0.01241637462702659,0.009574515482290024,0.2613786787455755,-2.9702235093020947e-06,0.13767877032746711,0.00039701987574563,1.0395782282612841e-05,0.06650478948540876,0.09196554540729188,0.0005316700081680947,1.7821341055901387e-05,0.008688893839261368,0.017358728744338015,0.020929184921165266,0.0,0.02834880324744433,0.0011247246355288176,0.0
NN,11,0.009736236502035759,0.7081545064377682,0.981770481161929,0.019208381839348077,0.8382719715642826,0.0816470181034888,0.015667625532780737,0.029501033967363498,0.023592064044552764,-2.2204460492503132e-17,0.11941360741999545,0.0002907393378513756,-8.189840503103341e-07,0.06173337974242954,0.06830613623799679,0.015523637927151368,0.0,0.003704264859441886,0.05205872115640551,0.019505743125652585,8.189840502881296e-07,0.013875227779939015,0.01135111893695866,0.0
NN,12,0.05063291139240506,0.7461139896373057,0.9971898511612692,0.09483042476127757,0.9234178013558594,0.1939092649317208,0.003989389153967023,0.0022999134262926767,0.03502698520879011,-2.431431781755311e-05,0.005268838991324243,9.467847998680944e-05,0.00018677816868988283,0.004087752583396354,0.01905174160511347,0.031388310707509845,-6.225938956316845e-05,0.012449299121369006,0.034419864060859506,0.0019385142478218543,0.0,0.0020645066219676655,0.001751736079132127,1.1051962644392788e-05
NN,13,0.0725925925925926,0.6966824644549763,0.9980176654386809,0.13148479427549195,0.9260993088326887,0.22447564109897725,0.0025562387750105047,4.832344492400331e-06,0.06736932535101607,4.295417326605211e-06,0.05086740583639819,0.001441112513087539,0.004763617815243282,0.003287068109210889,-0.0002877929608849028,0.00042739402400056027,9.772074418104015e-05,0.0017401809444547833,0.01367983033101552,0.003375124164407084,0.0005841767564229716,0.0012982898869768,0.0002389325887942828,1.6107814975185875e-06
NN,14,0.13636363636363635,0.7788461538461539,0.9990479007187817,0.2320916905444126,0.9126107534119039,0.3256534877211109,0.0032714410196014528,-0.0006280182385840494,0.078593023516992,4.043035870708867e-05,0.051488511039734154,0.001053435457424623,0.015211248624244767,0.0020574560319849278,0.011358235439455555,0.0004842658520697762,3.9531906291401245e-05,9.343905123424535e-05,0.016689652074302043,-0.0004734844230812385,0.0018485658453313736,0.0005404191280519832,0.00457222434356821,2.0664405561388045e-05
NN,15,0.021937842778793418,0.6857142857142857,0.9960944168406145,0.042515500442869794,0.8929601761580372,0.1221927474344838,0.0041430794613590465,-0.0002981693786981987,0.08154909393491128,0.00015856139053260776,1.1556952662683528e-05,0.00010262573964503474,0.02075212647928999,0.007063147189349106,0.0012393676035503231,0.0009139238165681185,0.0005339312130178353,0.001586076183432028,0.012653014053254452,-0.00487610946745558,0.008124075443787081,-0.002786612426035484,0.001306397928994163,5.177514792906734e-05
NN,16,0.016063498062931118,0.5964912280701754,0.990783482754485,0.031284504968715494,0.812704292411958,0.09682758099819842,0.010830141401921178,0.025452040816326505,0.09071989795918363,-9.183673469426169e-06,0.07452244897959177,0.0006030612244897204,0.018381632653061163,0.03727244897959177,0.03915714285714276,0.00024387755102035503,0.00016734693877549223,0.005432653061224401,0.01790663265306116,0.018867346938775474,0.0020612244897958874,0.035140816326530544,0.0005418367346938568,0.0
NN,17,0.017567090395480225,0.7683397683397684,0.9895851076999833,0.03434883921636316,0.8939883615430229,0.11520715536802101,0.008755162595690426,0.017003878116343584,0.16656879039704525,0.011504832256078878,0.07027590027700836,0.023384179747614708,0.008430163127116109,0.07080012311480455,0.06699932286857506,0.054178393351800636,0.023870729455217,0.0029961218836564774,0.027524284395198606,0.006373407202216108,0.0009861495844875722,0.028509449061249702,0.002333764235149305,0.0
NN,18,0.042801556420233464,0.5427631578947368,0.9968330795551258,0.0793459966338062,0.8255508632987615,0.15178339904991034,0.003831467180270137,-0.0002966562812122264,0.07054963402453758,-3.1007289694406914e-05,8.07978414156585e-05,-0.0005942070034733015,0.018765373205527736,0.001039936792832541,0.030468538036105674,0.06486575930591394,-0.0004341020557236508,0.0019552481328543704,0.012947332329571792,0.0009018947242885655,0.0010545459966309957,0.004625154663764786,0.0004779296671189481,3.2796171792393024e-05
NN,19,0.013217371402414602,0.8162544169611308,0.9864972038954997,0.026013513513513515,0.8948073958231584,0.10284807571940023,0.012745132439973642,0.011363616689750767,0.13998128029778403,0.0003018957756233176,0.08658089508310247,0.00964659799168983,0.012059816481994546,0.09405081371191142,0.09803497229916906,0.021218836565097,-8.872922437608288e-06,0.002208708448753538,0.028609331717451614,0.014216369459833844,0.0017994719529086823,0.010530860457063774,0.00045879501385048815,0.0
NN,20,0.016662718155255468,0.6261127596439169,0.9900181099325281,0.032461538461538465,0.8404146543575954,0.10102372401838323,0.008690973182725586,0.00993269987139318,0.1377034299341983,0.0002152605226685811,0.047821049082895396,0.005362034736355903,0.01056199977525014,0.06762251994655957,0.033291962691505764,0.032064328434616554,1.5982219780585892e-05,0.010851677508771519,0.02951553896290382,0.03234651450261596,0.0008677845896440939,0.012801008877623676,-2.4472774038786228e-05,0.00025646468304016954
NN,21,0.02649470105978804,0.7085561497326203,0.9926080970091546,0.05107941403238242,0.9139685797111685,0.13609346971702035,0.007450886109311563,0.005363435444531506,0.059534027771663015,-3.856686243608465e-05,0.043055939560971715,0.00545589025174118,0.0020422826651638635,0.007203726368991514,0.03041657494562775,0.04839824247814099,0.0007139272160535892,0.012549551374054535,0.027743486338701516,0.005048032473650354,0.0007160404687898581,0.016167616162861265,0.002355396278914168,-2.535903283467089e-05
NN,22,0.014981908638625056,0.6919060052219321,0.9867038190609672,0.029328758784793314,0.8725240417229077,0.10053169797626114,0.011478106358082154,0.00019531585118253146,0.10986759701449862,1.944579484691733e-05,0.10575995882066982,0.0029549029140096606,0.004535588664245571,0.03912165060482151,0.04384083044982712,0.028157939889616547,0.0003099888472647194,0.007633618347679461,0.018803654665560953,0.0020335153993537467,0.000290686036203569,0.005637993651520024,0.0010519317109439984,-1.2010637993675744e-05
NN,23,0.020185393745126918,0.6164021164021164,0.991863109876075,0.03909068031205436,0.8100071890195294,0.1105302208400628,0.00822397637195472,0.011004778817770866,0.1082781940022769,-1.7042859382887522e-05,0.05809910763588266,0.0177465249609718,0.003489695887217126,0.08806372665980404,0.03921234721076559,0.031822563382394066,6.544458002983866e-05,0.007903114752980778,0.04078431238879528,0.030439228572012846,0.0001112557860507124,0.021570942606466727,0.001538356659326845,-2.0451431260060106e-06
