Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
Sliding Window,GBDT,20,0.060240963855421686,0.6231454005934718,0.9972993821037044,0.10986136541982737,0.8905283360476621,0.19318256889772323,0.4246339367727904,-0.000673625591529392,0.06901384709510679,0.0005279126971244885,0.033096180499194716,0.004670803730849471,0.0038788098240707834,0.031034599008602948,-0.001422042977187865,0.03740126609147323,-2.3973329670745613e-05,0.0,0.003168225349298881,0.0015555194845734421,-3.158985628481936e-05,-0.0006091972680392965,0.00015982219780494856,0.0
History Window,GBDT,20,0.07507820646506778,0.6409495548961425,0.9977922071738189,0.134411947728687,0.891389562578447,0.2188635827529481,0.4408234916822354,0.0,0.15890684113923265,-0.0003333791157336341,0.013838604552435529,-0.0007124573911522658,0.0034735107193248236,0.006205845996329206,-0.0007383036372035523,0.04982144863838993,-1.573249759638795e-05,0.0,-0.0005769831062941488,0.0,0.0,1.1102230246251565e-16,0.00018279663873950193,0.0
SEA,GBDT,21,0.2160392798690671,0.7058823529411765,0.9991981969942898,0.3308270676691729,0.9342619390464995,0.390236600011524,0.5329346449219527,0.0077875124373727456,0.13642913118896874,0.05208393135450684,0.02302054257763988,0.017333427255677058,0.0005980505243506684,0.05745493928800975,0.013933203603095756,0.03586365997763459,-5.107027446005219e-06,2.4830719650514864e-05,0.0004193045637452597,0.0001826202572883906,2.007590099406542e-05,0.019706786182849045,5.776224145663811e-05,0.0
AWE,GBDT,21,0.18485059068797777,0.7112299465240641,0.9990382868442745,0.2934362934362934,0.9358331558865953,0.3622855040248457,0.5380177471480551,0.00696739427132409,0.12593436589210089,0.04729811832454282,0.0168836566316513,0.008346643890498306,0.0005952328540359097,0.0719500920145462,0.011100916623374379,0.036371721156301495,-3.363593938483511e-05,4.7900395354383284e-05,0.0002500682404529719,0.000151801988218625,1.2327307628234863e-06,0.01692944377426937,0.00012344918067435094,0.0
Sliding Window,GBDT,21,0.068608570052961,0.7620320855614974,0.9970285240668529,0.12588339222614842,0.9255757669433818,0.228104603358046,0.5758079229499924,0.0008312127429140004,0.06307029206913857,0.02365134851940236,0.016400778381424553,0.01289726950136041,0.0009646118218880062,0.04057374811788428,0.004057709410138366,0.028048939411283058,-1.6641865297728488e-05,0.0,0.0043989997270381664,3.398814817427987e-05,0.0,0.004320016906021929,0.00023650820206218005,0.0
History Window,GBDT,21,0.07224334600760456,0.7620320855614974,0.9971854312093562,0.13197499421162306,0.9173536285684022,0.23409891369729324,0.5604985608733042,-9.069376326187317e-06,0.06309186485748752,0.016798950417807677,0.02202502443448482,0.0001263549031866651,0.0009823103135539134,0.03972527714429119,-0.0008192376440753657,0.03621410772305822,-1.6201604310861483e-05,4.4408920985006264e-17,0.004164252568922944,-1.0566263680233945e-06,6.533473042824589e-05,0.011500409442717751,0.0007015118562283984,0.0
SEA,GBDT,22,0.19583654587509639,0.6631853785900783,0.9991116171221398,0.3023809523809524,0.8808192736391367,0.3600780831328805,0.43664101749023315,0.0004945809145242341,0.15907575280963138,0.018571163030112324,0.057288312505361816,0.010319854728473788,0.0005929537590437129,0.02224470245074204,0.01562984357573851,0.013275758528982773,0.0021603420172151997,-1.672910291974361e-05,0.0008064285510022585,0.0008920758385998929,-8.864994709645302e-06,0.0033398152649488865,4.146529783488617e-06,0.0
AWE,GBDT,22,0.17207147584381205,0.6788511749347258,0.9989584999367065,0.27455121436114044,0.8839696095973941,0.3414446224659696,0.4419904608900623,-0.00011924847722268871,0.13937087134318968,0.020804283794217747,0.04878335096800022,0.006514770225056465,0.0006447138894449589,0.023372844519431512,0.01251179616231517,0.018882581715233448,0.0034846578398009644,4.2752151905944834e-05,0.0006109697160342709,0.0005439103205696627,0.0,0.002806628728302196,3.588893019537132e-05,0.0
Sliding Window,GBDT,22,0.061197916666666664,0.7362924281984334,0.9966443080202327,0.11300340613103586,0.9007176894108517,0.21166604158221078,0.4059716681355147,6.2912865680164746e-06,0.11103877720266511,0.002744144813977911,0.031770925677028106,-0.00045161428694000526,-5.2904000687581386e-06,0.0029477537247274642,-0.0009476250393206876,0.01891346621293131,5.862335211181957e-06,0.0008686264977550761,0.00023313506248381354,5.426234664980267e-05,0.0,0.0034191712659782823,3.7175784264986687e-06,0.0
History Window,GBDT,22,0.06560494414071785,0.720626631853786,0.9969391723030719,0.12026143790849675,0.8839032430462104,0.216847265758606,0.5244289769727204,-5.719351425437225e-06,0.10448189825273828,-0.0005943121050071109,0.0232383682690384,-0.00021204495410209745,0.0013885155423376538,0.01848086876948172,0.03171244530870212,0.015498441476736713,-1.308301638582865e-05,0.0,0.0012424576053076785,5.9052303468898336e-05,1.4512854242432206e-05,0.003360333438188223,0.00012718407732577043,0.0
SEA,GBDT,23,0.17642526964560862,0.6058201058201058,0.9991348116830256,0.2732696897374702,0.9230650963034182,0.32662497244681604,0.45126673595506844,0.002231251150392999,0.1397290867072514,0.04210213444770909,0.028626822733810963,0.0411557785519024,0.00016988322232758257,0.06837554281507133,0.0029257817559598777,0.004742823251913863,-9.953029879561371e-06,1.5952116382278447e-05,0.00054468978587352,3.21769185146481e-05,6.953486628158423e-06,0.0014074674992671453,4.308434851965082e-05,0.0
AWE,GBDT,23,0.15287049399198932,0.6058201058201058,0.9989927446359035,0.244136460554371,0.9260870377001946,0.3039902782638409,0.44009542680116936,0.00125326370757175,0.13831684720735699,0.03306069303083399,0.0223577773384507,0.02920273503807369,0.0001002120131707196,0.0653755905350776,0.0016017560962307443,0.007918248812112672,4.090286251900999e-06,8.998629754120024e-06,0.00027432186462512665,9.42129266679359e-05,1.3634287505670527e-07,0.0006654895731786015,7.089829503237333e-06,0.0
Sliding Window,GBDT,23,0.06009013520280421,0.6349206349206349,0.9972353752630017,0.10978956999085085,0.9110921586754821,0.19475634452159707,0.4479255342770551,5.0037835147853646e-05,0.201352521320617,0.024597345404222582,0.014808199660506305,0.004006571726577946,0.0006967120915678082,0.023975076522438642,0.00021487637109807167,0.00863929810687918,7.498858127341635e-07,0.0,0.00018215408108310794,8.630503991440275e-05,0.0,0.0007615431286599694,-0.00012359481624388824,0.0
History Window,GBDT,23,0.05892722236212541,0.6190476190476191,0.9972431889505934,0.1076109450448379,0.9246695223195998,0.19041812668826666,0.46783092852946,1.3634287505670528e-06,0.06986093026743652,0.010081873896474813,0.007308932503459676,2.0655945571901314e-05,0.0016659054189475774,0.02325600419936056,-0.0008134215926211442,0.005496117636632625,1.4997716256459625e-06,0.0,0.0027991873964646084,6.817143752835264e-07,0.00014043316131404638,1.581577350719954e-05,2.0110574071696696e-05,0.0
SEA,GBDT,24,0.15840621963070942,0.6197718631178707,0.9990790114723136,0.2523219814241486,0.9476658598891895,0.31302688182770716,0.31733697711119385,0.0040409003107415575,0.13355379188712518,0.02465146552448132,0.06082220542537995,0.020693709582598464,0.0004984462920970545,0.03535469331765624,0.014698216735253756,0.03275986114610448,-3.569328966157581e-05,-5.556955292407295e-05,0.0003187200806247903,0.0002751882646062187,0.0,0.014648945998152297,5.794910556811139e-05,0.0
AWE,GBDT,24,0.1290577988915281,0.6197718631178707,0.9988559148724393,0.21363040629095675,0.9414042627424616,0.28247468810625703,0.30592789737672677,0.002139777721788283,0.12240432798633853,0.021712438061644423,0.04783222754122227,0.015218918843257411,0.00020058229052939415,0.03637748103356571,0.013611181097953628,0.035310601606897876,-5.039052658095677e-06,1.217771059036643e-05,0.00021373981691439337,3.079421068838961e-05,0.0,0.012222782116961994,0.0001459925533999762,0.0
Sliding Window,GBDT,24,0.06607773851590105,0.7110266159695817,0.9974076937818019,0.12091820239249919,0.9205447240078056,0.21625218353091596,0.3474284433157093,6.536771087042314e-05,0.14061749391114467,0.015273998488284257,0.04884122784916443,0.008749685059208923,0.001084376137286247,0.01613427675596992,0.012028288681727872,0.03579764004367185,5.039052658109e-05,8.398421097233211e-07,0.00030192323843123423,3.219394753792848e-05,0.0,0.005267699672461612,4.5071526553064344e-05,0.0
History Window,GBDT,24,0.06570347437220503,0.7262357414448669,0.9973419088869673,0.12050473186119876,0.9385506970063539,0.2179362759244488,0.4353365257063275,0.0001579603034629562,0.07639196830995769,0.009946180118137726,0.07126487220402558,0.008585635900450694,0.0008108675568992529,0.010634710674393167,0.0175574591976708,0.037032067971221425,-0.00012793594804174634,-4.4791579183689475e-06,0.002229080932784644,1.1407855323142258e-05,0.0,0.0012477954144620052,0.0002970941463004806,0.0
SEA,GBDT,25,0.25320970042796004,0.6610800744878957,0.9990603659450318,0.36616812790097986,0.9098871627473899,0.40877516832532895,0.4302311013695729,0.0017825904668276715,0.155024360623979,0.01995200161922257,0.051721146756495015,0.007174601338750119,2.3710043516711466e-05,0.030859778224349134,0.007095953389524334,0.01977244141161514,-1.1565874886043658e-06,6.766036808403264e-05,0.0003559397996213187,0.00023623299454966773,0.0,0.0008226228512773659,4.539605892819321e-05,0.0
