Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
Sliding Window,LR,16,0.09090909090909091,0.0041753653444676405,0.9786832511258846,0.007984031936127744,0.6593236661448374,0.015244357362307311,0.05232958810723294,-0.008157780270598191,0.0,0.0,-0.00281501110322564,0.0,0.0,0.0,0.01693539525194021,0.049556901169845013,0.0014454224949062456
History Window,LR,16,0.1,0.0020876826722338203,0.9791121595539353,0.004089979550102249,0.6413229797583642,0.011602615200231021,0.05215375132689195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03228005311233719,0.05267467548819853,0.0
SEA,LR,17,0.043478260869565216,0.0032258064516129032,0.9924287478841667,0.006006006006006006,0.7119777609003246,0.009949314184101669,0.03899389842012525,0.039343055513182026,0.028073448075975983,-0.017734363082448225,0.0013998805793210335,0.014069150674901243,-0.0011558962870628741,-0.0012598009945912203,0.00817748353607244,0.08022010015646726,0.004648994730671508
AWE,LR,17,0.11538461538461539,0.00967741935483871,0.9924516217576285,0.01785714285714286,0.7176954523025338,0.03148353670514378,0.04013555351745726,0.03615282360171026,0.021931084679721602,-0.005615561298983196,0.001098539493813222,0.02080247209522277,0.005818445700637676,-0.0027525594815224876,0.0071713861079754524,0.0784287463879603,0.004901390771483749
Sliding Window,LR,17,0.1568627450980392,0.025806451612903226,0.9921085136557024,0.0443213296398892,0.696311331046455,0.06100046398989635,0.031682529027962265,0.04093640630924731,-0.0029413226058114584,-0.011466433636533924,0.008292894469602264,3.120627961001876e-05,3.791824477850092e-06,0.0062001996155875315,0.026832039609311374,0.11932797538364995,0.005431853940664588
History Window,LR,17,0.17073170731707318,0.02258064516129032,0.9922915046433963,0.039886039886039885,0.7281578094717192,0.059751895920878206,0.03331269882788242,0.023668437637562566,-0.0005577904559342262,0.0,0.0,0.0,0.0,0.0,0.013674975265972455,0.11842983599269527,0.000775667818742054
SEA,LR,18,0.04,0.001364256480218281,0.9703191865258529,0.002638522427440633,0.690235468528735,0.0021040156517011764,0.07709566382289472,0.015658480749219494,0.00950905306971903,-0.010228095733610876,0.0017078043704473744,0.018527471383974925,0.00032840790842865176,0.0010885535900103439,0.007875650364203879,0.10403381893860553,-0.0009939646201873708
AWE,LR,18,0.07407407407407407,0.002728512960436562,0.9703191865258529,0.005263157894736841,0.6992402341063679,0.008825984031587325,0.07396421041453868,0.03216045785639952,0.00934391259105094,-0.0009751300728408241,0.000478251821019704,0.0192096774193548,0.003518938605619093,0.0010683662851195708,0.008626222684703389,0.10846326742976065,0.006159209157127999
Sliding Window,LR,18,0.10256410256410256,0.005457025920873124,0.9700051038435868,0.010362694300518137,0.6671362536958954,0.017283407064994972,0.05749107907945594,0.027998022892820006,0.0016080124869928048,-0.002660770031217474,0.003839646201873115,0.000297086368366406,2.7055150885413327e-06,0.0032646201873049565,0.015699167533819038,0.1115859521331947,0.0025876170655567687
History Window,LR,18,0.07692307692307693,0.004092769440654843,0.9699265831730203,0.007772020725388601,0.6923064493518265,0.011277354138511119,0.06777679190157897,0.018606971904266478,0.0008812695109261748,0.0,0.0,0.0,0.0,0.0,0.019988553590010526,0.1377131113423518,-0.0035091571279916465
SEA,LR,19,0.11764705882352941,0.009900990099009901,0.9899813606710158,0.0182648401826484,0.5257944824965138,0.03156014730754477,0.014235637524741022,0.00234471578610389,0.0032911710457499853,-0.0038520051592346727,0.00504886569425389,0.016919572148322383,-0.00054190575277,0.006137348801110676,0.006759248746949886,0.13090435501192088,-0.005794386261397522
AWE,LR,19,0.1111111111111111,0.009900990099009901,0.9899347623485555,0.01818181818181818,0.5275103187710812,0.03051475714306079,0.015192662592958608,0.0051195725205616105,-6.923648166989871e-06,-0.0026865988322857916,0.004643031962314503,0.023143075700414427,0.0002242926990874361,0.0021454747817282625,0.014029563233194842,0.15179378323397652,0.0004249296002710068
Sliding Window,LR,19,0.10526315789473684,0.009900990099009901,0.989888164026095,0.01809954751131222,0.503382069790383,0.029548849456958813,0.011078998022091382,-0.007259333431356296,0.0005222515257152338,0.0,0.010042751666235517,0.0005038070758939695,0.0,0.0,-0.009126410553724318,0.20667220062201164,-0.004761645967067962
History Window,LR,19,0.125,0.01485148514851485,0.9897483690587139,0.026548672566371678,0.4872481320951739,0.04005309603785314,0.010418745608959971,-0.005358177814918941,0.0016313008455412614,0.0,0.0,0.0,0.0,0.0,-0.008414317062139687,0.22072188338119716,-0.0024066563804581386
SEA,LR,20,0.25,0.014184397163120567,0.9920678336980306,0.026845637583892613,0.6203947530476825,0.05794839393009936,0.034310845815991586,0.010908244289775415,0.01996936574845596,0.004186599353004516,0.012419860797960914,0.028646211155768885,0.0054053524164296984,0.004947799235368988,0.009125820997941281,-0.03720248014900505,0.021660131359670532
AWE,LR,20,0.2,0.014184397163120567,0.9919584245076587,0.026490066225165563,0.6299384696349976,0.05142091838647722,0.03316790829000326,0.013222478188412868,0.019282178217821723,-0.0006849818645230821,0.012576218017841345,0.0344564258406038,0.004999019703950558,0.00023306538574645596,0.008475394569159888,-0.027683560435251487,0.021526075874914175
Sliding Window,LR,20,0.15384615384615385,0.014184397163120567,0.9917943107221007,0.025974025974025976,0.6046598782686419,0.04456005823916897,0.023021225361315505,-0.007468875600431346,0.010419076561121444,0.0,0.010310263699637279,0.0,0.0,0.0,0.0,-0.013830996961082254,0.030948926575825864
History Window,LR,20,0.16,0.028368794326241134,0.9913566739606127,0.048192771084337345,0.6409634583060128,0.06441705848205152,0.021436769611987073,-0.02113763356533673,0.012244387805117163,0.0,0.0,0.0,0.0,0.0,0.004789726497402213,-0.013877806097441391,0.00977992353690813
SEA,LR,21,0.0,0.0,0.9860240271861389,0.0,0.634311434903862,-0.00379133694991077,0.026792983294973715,0.0006398068507621479,-0.02860117700316873,0.00023741260499989813,-0.0022916352296161293,0.04405613399728392,0.008834565665711058,-0.00023540063377083253,-0.003149740958704217,0.03017655047532828,0.02942105527890959
AWE,LR,21,0.09090909090909091,0.011152416356877323,0.9858325755037572,0.019867549668874173,0.628845179110633,0.027530982359688868,0.026767240170847535,0.003875056586690695,-0.032892711634223734,0.00489210804285487,-0.003654745737136067,0.0440581459685125,-0.013471153362507015,0.0009848599165030781,0.001403349932095832,0.016390523615512208,0.02749559881293686
Sliding Window,LR,21,0.0,0.0,0.9858325755037572,0.0,0.637433722144194,-0.004108203710975071,0.02362453435753486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020616166188823514,0.03031286152608017
History Window,LR,21,0.08771929824561403,0.01858736059479554,0.984875317091849,0.03067484662576687,0.6076520371112732,0.034723737095841256,0.023226388111264765,0.008097681203158902,0.01638851164428361,0.0,0.0,0.0,0.0,0.0,0.027165132538604773,0.03799205271364627,0.008180172023540133
SEA,LR,22,0.125,0.00392156862745098,0.9892268956123333,0.007604562737642586,0.6664213641405168,0.020386997118909077,0.027776867786422823,0.00762952419120797,0.023585356752947085,0.0034401127679274833,0.00853470792277613,0.013132073907215224,-0.0008230953137739805,0.0004480313981288564,0.00257680242119378,0.03525144760299057,0.043111759096751065
AWE,LR,22,0.0625,0.00392156862745098,0.9888966855161596,0.007380073800738007,0.6410141079625576,0.01309247660471821,0.027171291043146372,-0.0006958168073961435,0.012742361216677555,0.005922803720236081,0.003937203742347517,0.01098063874186377,0.001054159008305655,-0.0004546648056272362,0.008165171846713037,0.034578433133870545,0.022323212780365198
Sliding Window,LR,22,0.041666666666666664,0.00392156862745098,0.988566475419986,0.007168458781362007,0.6176706975131117,0.009609129705690283,0.02244577421922139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05695194925443259,0.06716145437459405
History Window,LR,22,0.05,0.00392156862745098,0.9887315804680729,0.007272727272727273,0.6173525976384213,0.011118319507424783,0.021527408440929305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04401556086842358,0.07752463343513767,0.032997885601359814
SEA,LR,23,0.16666666666666666,0.0035460992907801418,0.9883222408231596,0.006944444444444444,0.6200497206800472,0.02276549720347912,0.028464759821121566,-0.005789619377162558,0.0013228758169935295,0.003359323337178055,-0.0015697039600153894,0.029741945405613257,0.0020578239138793197,7.120338331418896e-05,0.00018915801614771688,0.06212441368704351,0.018743867743175713
AWE,LR,23,0.1111111111111111,0.0070921985815602835,0.987913927565228,0.013333333333333334,0.6383901538288469,0.025318095636548327,0.028940065525460246,-0.009225682429834658,-0.004306343713956084,0.0022535947712418736,0.00010226835832376491,0.03316278354479052,-0.0034485198000768547,0.0013711649365628852,0.007049442522106908,0.06359184928873514,0.021901576316801275
