Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
AWE,GBDT,18,0.827433628318584,0.2551159618008186,0.977032703859291,0.3899895724713243,0.9637646464001398,0.45199944268030356,0.5827927402601659,0.006358584807492118,0.09386066597294485,0.016068470343392316,4.328824141510701e-05,0.03985473465140479,0.06299500520291361,0.021742663891779347,0.03240489073881372,0.08943735691987512,0.009287408949011412
Sliding Window,GBDT,18,0.6716232961586122,0.7394270122783083,0.9820972871108319,0.7038961038961039,0.9819138128293933,0.6955419291569593,0.8047935766574837,0.007451404786680493,0.06500291363163369,0.011291363163371492,0.00013277835587930387,0.09634245577523418,0.08799084287200834,0.015527783558792918,0.02656295525494279,0.055918002081165444,0.018716753381893846
History Window,GBDT,18,0.6687116564417178,0.7435197817189632,0.9820187664402654,0.7041343669250647,0.9793054126757283,0.6959279511086078,0.7984689286950438,0.005215920915712791,0.05130104058272635,0.010037252861602442,3.99583766909295e-05,0.10938314255983353,0.06285952133194588,0.021931841831425557,0.02993870967741934,0.04748043704474501,0.017162955254942734
SEA,GBDT,19,0.821917808219178,0.594059405940594,0.9949673811742777,0.6896551724137931,0.9597699503227206,0.696406462558538,0.6913152910153012,0.007330673064216775,0.0784169041242236,0.017017247700957937,2.98349677733567e-05,0.06865524885117691,0.10224821278678695,0.008451317633526845,0.030710585923032108,0.11975676032824041,0.007888529264511224
AWE,GBDT,19,0.7973856209150327,0.6039603960396039,0.9948275862068966,0.6873239436619719,0.9635208969669193,0.6914942898771382,0.6895575244758458,0.005943374980690153,0.06718363860045536,0.016869282639324523,4.3738099979795385e-05,0.05261860935176423,0.11610457314406217,0.008982242331408319,0.03100610658323555,0.1188830778221777,0.007360024121096908
Sliding Window,GBDT,19,0.5512367491166078,0.7722772277227723,0.9919384902143523,0.6432989690721649,0.9805112391002013,0.6486523253636212,0.7813325859035896,0.004191282531375129,0.06353113501300048,0.01095682211993918,0.00021001732773238136,0.08354846274537542,0.12374517252353942,0.007959813061499487,0.013442467647764956,0.03599883861385587,0.009547468866848208
History Window,GBDT,19,0.5143769968051118,0.7970297029702971,0.9910065237651444,0.6252427184466018,0.9819493697887993,0.636210967829962,0.7903512272499872,0.003954017297953194,0.048875353859840674,0.017246174777447453,0.00018649181353043166,0.12179205232193464,0.07884604002687556,0.01124888095605896,0.015731515069171233,0.05485273288677035,0.010790933743292607
SEA,GBDT,20,0.6363636363636364,0.24822695035460993,0.9931072210065646,0.3571428571428571,0.940866414164222,0.3947450202797044,0.3422162973102857,0.006926281737084494,0.08398392314478961,0.021659151063621086,0.00013920203901574002,0.06936060190177425,0.13606043525144584,0.017609793157533506,0.027101019507891323,0.03779188314871085,0.013937114008430474
AWE,GBDT,20,0.6346153846153846,0.23404255319148937,0.9930525164113786,0.34196891191709844,0.9419361674758241,0.3827293848019533,0.36779503816343906,0.005239927458092453,0.07617758062935016,0.018104107440447038,0.00010513675129901756,0.07270120576414088,0.15468287422801696,0.018296490540143196,0.02614621115576914,0.028039162827173912,0.015902607587491513
Sliding Window,GBDT,20,0.44559585492227977,0.6099290780141844,0.9911378555798687,0.5149700598802395,0.9638184093753557,0.5170266696368347,0.4910597625806594,0.0031499362807567042,0.07482869326536615,0.016275365160278343,0.0003083031075384435,0.08461106754239774,0.2607619351044015,0.01654372120380354,0.02124277031663564,0.02909935300460733,0.009755906283697557
History Window,GBDT,20,0.4418604651162791,0.6737588652482269,0.9909190371991248,0.5337078651685393,0.971662094018648,0.5413736743096517,0.5592623422288918,0.004465738653073248,0.06624816194490735,0.013161944907362045,0.00011371434173117479,0.15621997843348695,0.11316880697970792,0.014222870306832669,0.01608788354082937,0.018834673071267495,0.015166895402411562
SEA,GBDT,21,0.6349206349206349,0.29739776951672864,0.9887522136600775,0.4050632911392405,0.9365837000816171,0.4297924325505693,0.42549409060629045,0.006506714953976256,0.07737236557517242,0.04773904733162326,-0.00017101755444877132,0.14075851315326202,0.10222926412152325,0.032228761128716,0.04644937377395515,0.0864131582918366,0.025287460389316573
AWE,GBDT,21,0.6694214876033058,0.30111524163568776,0.9890872541042455,0.4153846153846154,0.9413434667374208,0.4444850329331712,0.4228567122498483,0.00364066193853414,0.0696876414667269,0.041560283687943136,-0.0002102509934108765,0.13070268095166224,0.09615411699612683,0.03315225592274018,0.04627735023389148,0.07494995221568326,0.02700065389064925
Sliding Window,GBDT,21,0.4840764331210191,0.5650557620817844,0.9866462451538793,0.5214408233276159,0.95535311298635,0.5162943727490317,0.545873727050103,0.008059956742618613,0.07828479452743828,0.031216236607816538,-0.00030883758362256766,0.18350887782304712,0.11139681102560235,0.024103918313968166,0.028388914038529278,0.07026356823097432,0.02250440118706305
History Window,GBDT,21,0.46944444444444444,0.6282527881040892,0.9860718901067344,0.5373608903020668,0.9625602214621288,0.5362533087613862,0.6058686282444293,0.010718776721492884,0.07948996529349632,0.040082993813188514,-0.0003631608068004333,0.26349982395251753,0.10718877320054329,0.017950807303455572,0.031252955082742305,0.06849353654242744,0.02679543282531065
SEA,GBDT,22,0.3875968992248062,0.19607843137254902,0.988277541585834,0.2604166666666667,0.9201150525286035,0.27033695859280615,0.22267100065225603,0.012767236494796918,0.10632896173353049,0.03390002902115785,0.00011456447533897407,0.12195713160404084,0.10426431364961786,0.021281491411119235,0.03530009259131302,0.0797428172634431,0.027415596799380926
AWE,GBDT,22,0.4090909090909091,0.17647058823529413,0.9886490279440294,0.24657534246575347,0.9158098664127756,0.26376172694882394,0.21830189616189188,0.014922541147855895,0.09747889056259595,0.03399344951009522,0.0001793783944390448,0.1256837246583104,0.10611351418581838,0.025373060073796715,0.037677892787551334,0.07103398239383096,0.02644698110860826
