Dataset,Model1,Model2,Period,Topn,Overlap
Google,LDA,CART,3,1,0.166666666666667
Google,LDA,CART,3,3,0.25
Google,LDA,CART,3,5,1
Google,LDA,CART,4,1,0.5
Google,LDA,CART,4,3,0.3
Google,LDA,CART,4,5,1
Google,LDA,CART,5,1,0.166666666666667
Google,LDA,CART,5,3,0.416666666666667
Google,LDA,CART,5,5,1
Google,LDA,CART,6,1,0.2
Google,LDA,CART,6,3,0.416666666666667
Google,LDA,CART,6,5,1
Google,LDA,CART,7,1,0.5
Google,LDA,CART,7,3,1
Google,LDA,CART,7,5,1
Google,LDA,CART,8,1,1
Google,LDA,CART,8,3,0.833333333333333
Google,LDA,CART,8,5,1
Google,LDA,CART,9,1,0.333333333333333
Google,LDA,CART,9,3,0.3
Google,LDA,CART,9,5,1
Google,LDA,CART,10,1,1
Google,LDA,CART,10,3,0.25
Google,LDA,CART,10,5,0.5
Google,LDA,CART,11,1,0
Google,LDA,CART,11,3,0.916666666666667
Google,LDA,CART,11,5,1
Google,LDA,CART,12,1,0.25
Google,LDA,CART,12,3,0.25
Google,LDA,CART,12,5,1
Google,LDA,CART,13,1,0.5
Google,LDA,CART,13,3,0.3
Google,LDA,CART,13,5,0.416666666666667
Google,LDA,CART,14,1,0.666666666666667
Google,LDA,CART,14,3,1
Google,LDA,CART,14,5,1
Google,LDA,CART,15,1,0.25
Google,LDA,CART,15,3,0.25
Google,LDA,CART,15,5,0.916666666666667
Google,LDA,CART,16,1,0.2
Google,LDA,CART,16,3,1
Google,LDA,CART,16,5,1
Google,LDA,CART,17,1,0
Google,LDA,CART,17,3,0.333333333333333
Google,LDA,CART,17,5,0.583333333333333
Google,LDA,CART,18,1,0.5
Google,LDA,CART,18,3,0.272727272727273
Google,LDA,CART,18,5,1
Google,LDA,CART,19,1,0
Google,LDA,CART,19,3,0.375
Google,LDA,CART,19,5,0.666666666666667
Google,LDA,CART,20,1,0.2
Google,LDA,CART,20,3,0.25
Google,LDA,CART,20,5,0.75
Google,LDA,CART,21,1,0.125
Google,LDA,CART,21,3,0.666666666666667
Google,LDA,CART,21,5,1
Google,LDA,CART,22,1,0
Google,LDA,CART,22,3,0.272727272727273
Google,LDA,CART,22,5,1
Google,LDA,CART,23,1,0
Google,LDA,CART,23,3,0.416666666666667
Google,LDA,CART,23,5,1
Google,LDA,CART,24,1,0.1
Google,LDA,CART,24,3,0.25
Google,LDA,CART,24,5,1
Google,LDA,CART,25,1,0
Google,LDA,CART,25,3,0.25
Google,LDA,CART,25,5,0.666666666666667
Google,LDA,CART,26,1,0
Google,LDA,CART,26,3,0.5
Google,LDA,CART,26,5,1
Google,LDA,CART,27,1,1
Google,LDA,CART,27,3,0.416666666666667
Google,LDA,CART,27,5,1
Google,LDA,CART,28,1,0.111111111111111
Google,LDA,CART,28,3,0.416666666666667
Google,LDA,CART,28,5,1
Google,LDA,GBDT,1,1,0.5
Google,LDA,GBDT,1,3,0.4
Google,LDA,GBDT,1,5,1
Google,LDA,GBDT,2,1,0
Google,LDA,GBDT,2,3,0.25
Google,LDA,GBDT,2,5,1
Google,LDA,GBDT,3,1,0.5
Google,LDA,GBDT,3,3,0.25
Google,LDA,GBDT,3,5,1
Google,LDA,GBDT,4,1,0.5
Google,LDA,GBDT,4,3,0.25
Google,LDA,GBDT,4,5,1
Google,LDA,GBDT,5,1,0
Google,LDA,GBDT,5,3,0.6
Google,LDA,GBDT,5,5,1
Google,LDA,GBDT,6,1,0.5
Google,LDA,GBDT,6,3,0.416666666666667
Google,LDA,GBDT,6,5,1
Google,LDA,GBDT,7,1,0
Google,LDA,GBDT,7,3,1
Google,LDA,GBDT,7,5,1
Google,LDA,GBDT,8,1,0.5
Google,LDA,GBDT,8,3,1
Google,LDA,GBDT,8,5,1
Google,LDA,GBDT,9,1,1
Google,LDA,GBDT,9,3,0.4
Google,LDA,GBDT,9,5,1
Google,LDA,GBDT,10,1,0
Google,LDA,GBDT,10,3,0
Google,LDA,GBDT,10,5,0.5
Google,LDA,GBDT,11,1,0
Google,LDA,GBDT,11,3,0.333333333333333
Google,LDA,GBDT,11,5,1
Google,LDA,GBDT,12,1,1
Google,LDA,GBDT,12,3,0.333333333333333
Google,LDA,GBDT,12,5,1
Google,LDA,GBDT,13,1,0
Google,LDA,GBDT,13,3,0.25
Google,LDA,GBDT,13,5,0.416666666666667
Google,LDA,GBDT,14,1,0.5
Google,LDA,GBDT,14,3,1
