Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
LDA,1,0.12718204488778054,0.17586206896551723,0.9733845458653412,0.1476121562952243,0.61830159782746,0.13627275152348098,0.024624936691986787,0.04835401866603746,0.04769220823645537,0.013104383190239493,-0.0011367792742127624,-0.0004368529416310274,0.06958462909571109,0.0014635603858181635,0.006433449472565389,0.00036593302618546095,0.013538835093166179,0.04029951214653813,0.017939132510341828,0.03339160328807398
QDA,1,0.061420345489443376,0.2206896551724138,0.945594215996385,0.0960960960960961,0.634616489832007,0.09444150400298065,0.07470598597081964,0.07288104379793048,0.12993714700465292,0.013104383190239493,0.03460857529960666,0.06969762014743792,0.08894593773128397,0.0177061099310206,0.06764472041583461,0.03085256728376733,0.01770301899039579,0.033283763804055,0.017065770064926978,0.02753839205834323
LR,1,0.02857142857142857,0.010344827586206896,0.9824220515137821,0.015189873417721517,0.608262599469496,0.009390747184503554,0.01959780123634699,0.046720382706020344,0.04617691347537273,0.013104383190239493,-0.0011388399012959294,-0.002154042177602,0.09208908090880526,-0.0008134325410794841,0.001853362342383469,0.00072860339282248,0.0024382369961551743,0.03395209385469489,0.016311580552488512,0.029132973982865896
CART,1,0.11425462459194777,0.3620689655172414,0.954857659286037,0.17369727047146402,0.6618439749905267,0.18513997691989398,0.045571622232263895,0.049727746456375246,0.24089457261203803,0.013104383190239493,0.037710505935464524,0.01835125792697474,0.22229735879123608,0.0005948343513402677,0.10069271413779061,0.127997053303271,0.16425825152357607,0.23445076560882078,0.26472858965530854,0.15383851895862768
GBDT,1,0.20151133501259447,0.27586206896551724,0.9761861726163579,0.2328966521106259,0.8409757483895415,0.22391770519895693,0.01774448187122606,0.21843604368983113,0.2158927049771044,0.013104383190239493,0.0006106324923113692,0.00013995092273173527,0.04588638732576977,3.949535242830926e-06,0.005641138359088416,0.02005711371398846,0.031068417970728922,0.0109809100072638,0.05118391611874029,0.0010170911844657126
NN,1,0.22073578595317725,0.22758620689655173,0.9793492995933123,0.22410865874363328,0.8119030251357839,0.21367214774213142,0.020204594910390828,0.11645911055597355,0.11499959333896687,0.013104383190239493,0.11817661978167657,0.02828382390567825,0.17884972361839246,0.012139325865849714,0.020162033976306205,0.01634540918043703,0.06253127430896008,0.09336375047866648,0.13118329793061517,0.06755267907278653
RF,1,0.24127906976744187,0.28620689655172415,0.978852236782648,0.26182965299684546,0.8760315618289758,0.2521239091864343,0.01873389939875483,0.2114076471914495,0.21486932506070655,0.013104383190239493,0.00028522513209485736,5.495005555133936e-06,0.04245716042153562,1.8889081595974133e-06,0.003911070203847599,0.0070667488627914835,0.015190084262475789,0.004234932093751742,0.04695550934408528,0.004546601940080453
LDA,2,0.1343669250645995,0.1793103448275862,0.9741075463172164,0.1536189069423929,0.6354013515220411,0.14225859499378743,0.02583542190665843,0.0641300491412233,0.06301591913873704,0.013104383190239493,0.0032357677580041157,0.019230969813724096,0.07725812339693192,4.172125460875087e-05,0.0015190329518893985,0.030782700218562508,0.030634779406768065,0.04947492852864621,0.018297456741854477,0.011900197701854243
QDA,2,0.07432432432432433,0.1896551724137931,0.9584274740171712,0.10679611650485436,0.6661814765694076,0.1001289064798591,0.04008925551362992,0.07035763809942226,0.13170988033025552,0.013104383190239493,0.0332696978843847,0.06638736604553615,0.06417945828743728,0.02544806889064124,0.0505437196078834,0.037158466491036976,0.04637538698834176,0.04827259782765005,0.02836839867819474,0.017539520616463068
LR,2,0.1596244131455399,0.11724137931034483,0.9803434252146408,0.13518886679920478,0.6191654035619553,0.1270142197396802,0.021651977104371507,0.05761703684626549,0.05676080291707665,0.013104383190239493,0.0018362093079486996,0.026562848170981333,0.09983090249079052,-0.000197543819169943,0.004793519298450821,0.031874722450934104,0.019362771049874338,0.05118708031815624,0.02064301303315106,0.01617757450957775
CART,2,0.08753568030447194,0.31724137931034485,0.9477180298237686,0.1372110365398956,0.6359309081722874,0.146146372957239,0.052517949490385095,0.03671707055061668,0.2055829558519053,0.013104383190239493,0.06333665733733045,0.01172225022954585,0.22611687324482316,0.0,0.11224645250809524,0.16027978526196673,0.20123946893900002,0.20363575448305937,0.2883074603608572,0.13984205976569722
GBDT,2,0.15605749486652978,0.2620689655172414,0.9717577948486218,0.19562419562419564,0.8262192907667045,0.18856255838021813,0.022766233712468626,0.1428039097608636,0.1410624880247866,0.013104383190239493,0.00019296080256525627,4.061500922138972e-05,0.02965828079984707,3.1607011067302793e-06,0.01633956044129714,0.009682017665158592,0.025970532783582034,0.010475827748111111,0.032068157358665327,0.001380594243415123
NN,2,0.17666666666666667,0.36551724137931035,0.9693628558517849,0.2382022471910112,0.8123121131741822,0.24010039432121305,0.02346651750960438,0.1297342343581265,0.1282481681653757,0.013104383190239493,0.11707695200949483,0.03443267785660222,0.1637424913594334,0.017539046511297163,0.01632312479554219,0.0011290024353202365,0.08508575772277811,0.105420602398024,0.15902071997610517,0.07608929612766706
RF,2,0.19080459770114944,0.28620689655172415,0.9747401717126073,0.2289655172413793,0.8761489516230897,0.22126302791041494,0.020513573339832242,0.18289755354118958,0.18714847682545374,0.013104383190239493,9.813976936359214e-05,1.643564575488643e-05,0.03910609051299756,1.5803505533096285e-06,0.0025061199075178562,0.005019193357470542,0.010665469814514217,0.005505151152628685,0.048283660281523685,0.0025756553318657003
LDA,3,0.14325068870523416,0.1793103448275862,0.9751920469950294,0.15926493108728942,0.6376460464822533,0.14778895084246718,0.025103086019790506,0.07192571333681616,0.07068972077245274,0.013104383190239493,0.01587885333060677,0.018669802157353876,0.07736599611471802,-0.000539657992945175,0.0013234241603189644,0.03615516844742086,0.03296802310720304,0.06807550738714789,0.024862928786871817,0.005448021573539186
QDA,3,0.07078507078507079,0.1896551724137931,0.9567555354722097,0.10309278350515465,0.6624285556397626,0.09675370091836094,0.04185057371318812,0.06931747457821892,0.13057484539964426,0.013104383190239493,0.03278462246306426,0.07016256837584989,0.052567609017943884,0.036261566382086816,0.05171259138080877,0.041410203977301795,0.03176409692755995,0.05613337763918005,0.03645710853228366,0.016834517662696214
LR,3,0.2079646017699115,0.16206896551724137,0.9809308630817895,0.1821705426356589,0.6143277125173676,0.17404910224602735,0.021986555063736632,0.06693624629560467,0.065844139745308,0.013104383190239493,0.013147653494197664,0.03037485302387404,0.10089335923521296,-0.0011940212668063665,0.006131780072593474,0.03789332089361488,0.02075334849956556,0.07554892387914729,0.02428492919584895,0.012519809825673623
CART,3,0.09227871939736347,0.33793103448275863,0.9477632173520109,0.14497041420118342,0.6468959201717822,0.15631157261738773,0.05223678264798916,0.03985984852919863,0.21944287965131276,0.013104383190239493,0.05344690966719492,0.014797939778129909,0.18973084198149381,0.0,0.08427738868156025,0.13189957057410157,0.23997367210265325,0.1705210623178774,0.2795102499872195,0.08782718163693055
GBDT,3,0.14940239043824702,0.25862068965517243,0.9709896068685043,0.1893939393939394,0.8235723758999621,0.18259516870851553,0.02265225871211913,0.1616085225592325,0.1591924096527795,0.013104383190239493,0.000670338939727011,8.307346250191473e-06,0.03404414395992017,0.0,0.004206712335770102,0.006710578446909654,0.016703836715914334,0.008888860487705097,0.022179655948059908,0.0020777951024998575
NN,3,0.15303030303030302,0.3482758620689655,0.9661997288748305,0.2126315789473684,0.8066857711254264,0.21572983636462692,0.024693208432183766,0.1155960743354819,0.11408409670366218,0.013104383190239493,0.10684812893001383,0.02892010889013854,0.1460811691631307,0.018525701651244786,0.013657277235315068,0.004683426205204233,0.09572171668115129,0.11375568733704822,0.15454379888553757,0.09079737743469145
RF,3,0.1721132897603486,0.27241379310344827,0.9732941708088567,0.21094793057409883,0.8632134962738411,0.20349062974941703,0.021309182105738813,0.14082899886861616,0.14554792176856998,0.013104383190239493,0.00023915571801031988,6.390266346301132e-07,0.039759757936710785,0.0,0.0008117235826389458,0.0057263176729206,0.009606008128418785,0.0066580185062113054,0.03519007847247073,0.004603547875875446
LDA,4,0.13513513513513514,0.1896551724137931,0.9734749209218255,0.15781922525107603,0.6168359226979916,0.1468800084512321,0.026817044257747037,0.07128953309529207,0.07002900029598905,0.013104383190239493,0.015734358889449206,0.020777746837157874,0.09476891119958457,0.0004910025513467752,3.0104386961937734e-06,0.04669024843645344,0.02710538793265651,0.08786477109376764,0.022314876835426878,0.009539177096582451
QDA,4,0.06755126658624849,0.19310344827586207,0.9544961590600994,0.10008936550491511,0.6236105848174813,0.09445096345196628,0.0438580666886452,0.0645390519333975,0.12571490120789114,0.013104383190239493,0.03526608515025855,0.07316811042289144,0.07634984308088302,0.04031940754566463,0.10225527014924256,0.04666496075140554,0.07808656516470865,0.0665237711765548,0.03860315644497303,0.012229004071618288
LR,4,0.18726591760299627,0.1724137931034483,0.9793492995933123,0.17953321364452426,0.6009487495263358,0.16924236812171206,0.024863573186562505,0.06815678325374187,0.0670019961265868,0.013104383190239493,0.009851058545506542,0.022310060133512978,0.11452009844134539,-0.0017972319016188675,-0.001277931226527973,0.046458143612977995,0.016210008203445404,0.08726298439840152,0.01886039843156149,0.012682376139262907
CART,4,0.09599156118143459,0.3137931034482759,0.9522819701762314,0.1470113085621971,0.6372765883541746,0.15419281548352481,0.04771802982376864,0.03911380800816623,0.20938849137495466,0.013104383190239493,0.04701402111822746,0.012454034364157684,0.22787244771244292,0.001708875525885989,0.10860955362720229,0.10380188302940448,0.20991427775812638,0.1992096093203182,0.27063106321168656,0.14504925830316628
GBDT,4,0.13911620294599017,0.29310344827586204,0.966967916854948,0.18867924528301883,0.8083719369710749,0.18671402606625262,0.02643890854417378,0.12985169475387942,0.1279866647830302,0.013104383190239493,0.0007965620790090222,1.8062632177073823e-06,0.04547719216382813,0.0,0.0035848303994099997,0.002260839460830488,0.022990569800784243,0.02715716747823078,0.018795673999593653,0.0013239909385796
NN,4,0.1321212121212121,0.3758620689655172,0.9594667871667419,0.19551569506726457,0.8118823417961349,0.20594472746830372,0.029554357544067128,0.11561760848760631,0.1140810544519769,0.013104383190239493,0.07541901543602429,0.03007398153095846,0.10993821074576078,0.009240541577921335,0.010506732093534232,0.0051187994370478496,0.08305649840823037,0.10185367762717204,0.1701313303881207,0.08744060028147589
RF,4,0.15570934256055363,0.3103448275862069,0.9689109805693629,0.20737327188940094,0.8619764430971328,0.2053576364518509,0.024682910076818797,0.13324787342011332,0.1368570237710477,0.013104383190239493,0.0002531778943486884,0.0,0.025372428897201017,0.0,0.0007830151048761503,0.00037043448156484084,0.010323245855002194,0.00594682060043199,0.03998675406973684,0.002627811937894653
LDA,5,0.11652542372881355,0.1896551724137931,0.9705377315860823,0.14435695538057744,0.6168174497915877,0.13425387372447017,0.02932271956707895,0.07144677335514725,0.07018725529351817,0.013104383190239493,0.009249096858537564,0.016358193252933795,0.08625198226980535,0.004621299440709858,0.0033975137501838447,0.04721182631835452,0.03175035390768237,0.06792521137764855,0.01760302001222238,0.008893564681947307
QDA,5,0.06369426751592357,0.20689655172413793,0.9497514685946679,0.0974025974025974,0.6460175097890615,0.09379944173828762,0.04801253452891317,0.056539463884103316,0.12377966508175373,0.013104383190239493,0.03437584609077056,0.07427404444925782,0.08660720501891386,0.028516527295371796,0.08410424611861911,0.051118657703584015,0.07477933952704015,0.0676457983615815,0.040890841720107415,0.01631580168792699
LR,5,0.16065573770491803,0.16896551724137931,0.977541798463624,0.16470588235294117,0.6002429897688519,0.15338118618780577,0.025878610067076414,0.06852813535698968,0.0673559732170747,0.013104383190239493,0.0050690410068770396,0.02258108933944971,0.11564944960586672,0.0005229324442450167,-0.0014806105004215643,0.04620742471242587,0.021304082122053702,0.07531743391789344,0.017006134399826768,0.01596491092356367
