Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
LDA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024525187716486487,0.0853729090492463,-1.6604730990188443e-08,0.04949041740972837,0.0002573235166164256,0.012564999219577655,0.0033802416984647365,-0.0008103274785051129,0.0021394365682670057,-1.9925677221532823e-07,-9.810075086584824e-05,0.017992853323769053,0.0013080875002906556,0.0014548733225071108,0.0001825856222955613,0.0006567171118394999,9.796791302196795e-07
QDA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010739441881779444,0.029682534147629204,-7.920456696641764e-06,0.1401470681026437,0.027827138108189618,0.012206420053201428,0.028414945586296293,0.01877505238792625,0.006050614541094901,0.00011825889432401926,0.0026263537006962377,0.05899785466875203,0.0014449436933570148,0.002336949843749392,0.007960739773976289,0.0009124631790088378,0.00039253584131175855
LR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08434938512681031,0.0,0.16019219145919045,0.0,0.01511933820184037,0.0,0.0,0.0,0.0,0.0,0.028159232728588956,0.0,0.0,0.0,0.0,0.0
CART,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173559622607673,0.255222561512226,0.15508400333422992,0.13872111191920805,0.039930949226053405,0.012929763648258596,0.10488708782906422,0.1326595963721984,0.0,0.0027151641045566775,0.0009852168079728773,0.0016850398015401558,0.033083731016641235,0.0,0.08117183737990626,0.004472301648185595,0.0
GBDT,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009580597703897631,0.12053359303132646,0.006631115937552878,0.015789023608606567,0.0007284993640387816,0.00037888675241348757,0.014803549427302842,0.0031058983325528812,0.0009534768646282332,3.835692865616913e-06,0.0,3.6530408240587067e-07,0.0005940508569701076,3.320946203588804e-07,0.0012419176471759829,1.8265204124734424e-07,0.0
NN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003867922648521027,0.11917995875384817,3.3707603971144805e-06,0.07599265572746991,0.0006356124987131784,0.012975742148452962,0.004107728173911318,0.020258178660263894,0.006097738767729677,0.0003744698939621927,0.003899604475307128,0.025276883889757885,0.0019992843360930657,0.0009094411179633832,0.008406045450469746,0.011350728449549874,3.3807232356686256e-05
RF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041063499812381553,0.044165238659799155,0.002356360774311983,0.0021033710924918347,0.0008487176166235066,0.0004421673823307826,0.0031032415755899213,0.0019682251867203736,8.232625639714719e-05,2.3014157193812502e-05,1.0228514308496806e-05,3.966870240685871e-05,0.00028017162650000315,1.660473103681781e-07,0.0008739900172358261,1.67375688682192e-05,0.0
LDA,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047499326620967783,0.08100405826942862,-8.881784197001253e-17,0.04640588951367049,0.00011434442187505667,0.014321828698485218,0.003288813686528669,0.006703049633089897,0.000435882389019171,-1.320755667277851e-07,-4.842220464336133e-05,0.01859549686704374,0.001452897271541609,0.0005736867334303231,0.0006120546855581388,0.000744410912842719,-6.273589418848147e-07
QDA,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041324793877501876,0.030627564484450854,2.6761811703623905e-05,0.13787942937081596,0.03135596123483055,0.0132761864368794,0.030187851903997198,0.020743210676130296,0.00417859026997649,0.0003123091869204675,0.0012349890959237665,0.059760033553797706,0.0019085579766749295,0.0017682772153881476,0.008645385935949745,0.0010974489026460478,-7.330193952137521e-06
LR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082476164281203,0.0,0.15712156821244877,0.0,0.01429164117677022,0.0,0.0,0.005339121765170085,0.0,0.0,0.02483071833341761,0.0,0.0,0.0,0.0,0.0
