Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
LDA,1,0.09193776520509193,0.15550239234449761,0.9594291539245667,0.11555555555555556,0.6275362156319424,0.09969031927778017,0.03645795273905937,0.04578875883908165,0.04514724787783256,0.017043832823649338,-0.006756486612553747,-2.773480483879709e-05,-0.0015270351313530829,0.001368100291935881,0.006187472873019661,9.716186500359214e-05,-0.0026752380420668187,0.0022946048600743785,0.025251549277004147,0.0046098307276424945
QDA,1,0.08600770218228498,0.16028708133971292,0.9566564729867482,0.11194653299916459,0.6460586503989489,0.09650379867674702,0.04121220939996305,0.04626296774380126,0.06561516011254206,0.017043832823649338,0.05841616254756785,0.016015769217608323,0.052606261222240415,0.008041922778379073,0.032425138538952084,-0.0002113428147945573,0.028476530772126175,0.030708011936771796,0.04250277798288722,0.0810419101716496
LR,1,0.12941176470588237,0.02631578947368421,0.9803873598369012,0.04373757455268389,0.6071555880352408,0.05119771059577907,0.023996703112562152,0.041037326704263286,0.040287809206635584,0.017043832823649338,0.0,0.0,-0.0005121033607739412,0.0,0.011368568541887659,0.0,0.0,0.0,0.04310069715213982,0.04780543854309434
CART,1,0.21295279912184412,0.46411483253588515,0.9616309887869521,0.29194883370955604,0.7397889453379997,0.2972884340271263,0.03755840324413773,0.13997362322334156,0.29784017110288613,0.017043832823649338,0.029483718408886594,0.08484653107828952,0.1137622262763863,0.0,0.204756789174061,0.3260721573175761,0.06605728137679882,0.10393888257551875,0.07940978894533897,0.2372482030908098
GBDT,1,0.29419354838709677,0.5454545454545454,0.9699490316004078,0.38222967309304273,0.9186111639832223,0.3867967111478132,0.024393187892147575,0.27541934011186947,0.2727003202953234,0.017043832823649338,0.0007586549700230094,0.024804910861417895,0.01147815704022812,0.0,0.035633821333828065,0.06950143986860191,0.01983218642111162,0.007419420486655825,0.020079098222631275,0.010952276325102383
NN,1,0.13510253317249699,0.2679425837320574,0.9582874617737003,0.17963111467522053,0.7189689389192482,0.1706031453668817,0.038503419751309345,0.07315511234509578,0.07609033765696445,0.017043832823649338,0.23737931307732066,0.032659173466796546,0.23453217327409365,0.019216978022868546,0.07657615635226081,0.00587806771254491,0.15627806122908403,0.25193648369499644,0.1920676657199613,0.20315375347360415
RF,1,0.32192846034214617,0.49521531100478466,0.97361875637105,0.3901979264844486,0.9326628013900546,0.38650485909378424,0.023729050903671507,0.29037199800704666,0.29507228186689194,0.017043832823649338,0.0010971456563513503,0.0018532792804799136,0.004376065944000862,4.6014562573493124e-05,0.009196699198031854,0.07416962174408703,0.002384472831597484,0.0053484950266451834,0.00993590378544058,0.0025495309396154965
LDA,2,0.09538461538461539,0.14832535885167464,0.9615086646279307,0.11610486891385767,0.6257039736914549,0.0998670416243854,0.032868891941490966,0.04586444053618053,0.045185432966598466,0.017043832823649338,-0.006745468277945576,-1.350075528698813e-05,-0.00012717145015099794,-0.0006034743202416148,0.005634724320241746,5.4380664652597944e-05,0.013978096676737217,0.009722054380664735,0.025617730362537804,0.021182212990936634
QDA,2,0.09894459102902374,0.17942583732057416,0.9581651376146789,0.12755102040816324,0.6428102738925321,0.11300161054221532,0.04054778547804866,0.04658972763328349,0.07023134553202028,0.017043832823649338,0.03893259063444103,0.02025726963746215,0.03648064577039265,0.013338557401812667,0.03576576661631412,2.530211480356037e-05,0.042309667673716,0.03223168429003016,0.046916068731117776,0.12482949395770385
LR,2,0.0,0.0,0.9829561671763507,0.0,0.6253946470311885,0.0,0.022584555571070388,0.04570841303450718,0.044979324264243475,0.017043832823649338,-0.006795694864048319,-0.000509913141993934,-0.0005810989425981683,-0.0007026057401812614,0.005564482628398837,8.119335347431811e-05,0.014198262839879216,0.010130287009063465,0.02437547205438073,0.02085706193353478
