Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
LDA,1,0.03734652114597544,0.2730673316708229,0.9959711172839586,0.06570657065706571,0.8052997783734828,0.09979814733974308,0.004501314429560261,0.014493174486063149,0.014402128613418136,0.0005188124499462427,0.00011007052838474252,0.04653317146490914,-5.133541449930945e-06,0.0431730373453578,0.014048190542259142,0.025877719967626313,0.00605808764018958,0.0662501792114695,0.037998219447334905,-7.561567811342762e-06,-1.1192045323227261e-05,0.009336015724361157,0.002099595328939707,0.008496704821366574,0.003370979303965749,8.049485489649565e-05,0.00018899294716152594
QDA,1,0.0378191591476291,0.4912718204488778,0.993251556760799,0.07023172905525847,0.8558879062895912,0.13492702404470702,0.0067008043154411605,0.03366856221864552,0.24587480356705838,0.0005188124499462427,0.0007312752919412357,0.03594873395768294,0.0017745404092958106,0.07535800670597752,0.01623274366978835,0.012302300844028169,0.021965522025667684,0.044757174239796506,0.015017412417620446,0.006169337495664218,0.0032936061972481667,0.046508081859174474,0.0020277026245808516,0.007506625043357573,0.015076008787142946,0.0011355763672100227,3.0523759971812225e-06
LR,1,0.0999131190269331,0.43017456359102246,0.9976938075011741,0.16216216216216217,0.8779705184733883,0.20652417414543997,0.006332308404494227,0.14582949961161448,0.20937147352527669,0.0005188124499462427,-0.00013680194242102762,0.06299847381200145,-1.553936871310224e-05,0.029795005202913716,0.004062273095155611,0.006975257255174094,0.0001614984391260288,0.021906347554630723,0.009455127760434778,3.5518557058744626e-05,9.048444906938347e-05,0.033455104636374244,0.003909053069719115,0.01144402821135404,0.0002766562608395029,0.0005042432651174211,0.00010544571626791566
CART,1,0.011390302423075909,0.5386533665835411,0.9755051952403809,0.02230886415864081,0.7571926618191318,0.0757151791156417,0.024494804759619054,0.006374777123751748,0.2751415106918872,0.0005188124499462427,0.022849462365591468,0.2881397849462366,0.0665913978494624,0.14784946236559143,0.048827956989247336,0.040010752688172044,0.11047311827956992,0.11719354838709681,0.00037634408602154056,0.00016129032258069831,0.004172043010752668,0.0025913978494623625,0.05327956989247309,0.01455913978494625,0.06824731182795703,0.0013440860215054196,0.0
GBDT,1,0.04904894208164138,0.5723192019950125,0.994021365757602,0.09035433070866143,0.8670511270366643,0.1663209700576262,0.005459889378663822,0.13499982863310203,0.13416635134216037,0.0005188124499462427,0.00024479130535324243,0.1558556249277374,0.0021810613943809678,0.016219771071800282,0.0022046016880564734,0.01275432998034467,0.006033113654757893,0.005548757081743539,4.578563995938367e-06,6.937218186564564e-08,0.0002697652907851511,5.249161752907128e-06,9.450803561119602e-05,1.3411955140485432e-06,0.001267082899757277,2.3124060595236528e-07,0.0
NN,1,0.06591549295774649,0.5835411471321695,0.9954937063262774,0.11845102505694763,0.8925966777624867,0.19507878071151616,0.005701954158369341,0.15990931235652905,0.18857499772811065,0.0005188124499462427,0.005483477858712171,0.07404593594635234,-3.5842293905741228e-06,0.07515715111573606,0.010517632096196295,0.02443897560411621,0.04728766331367804,0.014663845531275421,0.0027572667360390214,0.0018104751994452162,0.004841438316568536,0.024369834662966917,0.0153944271013992,0.005191802520522671,0.01645790264770499,0.003980298300381713,0.00019248468031003442
RF,1,0.0991890205864005,0.5947630922693267,0.9969873945394019,0.17002316877561932,0.8824890030405412,0.24205581499577838,0.00552503529089077,0.2078447467153851,0.2362028249348318,0.0005188124499462427,8.83917215863006e-05,0.052667140709908675,0.0003815238755925154,0.005359058850734177,0.0006954329980344953,0.006696739507457439,0.0016996878251820835,0.0009883107873742691,3.047751185105696e-05,0.0,5.711642964478791e-06,2.614175049133749e-05,0.00015885073418890893,0.00014212047635562275,0.0003993525263036535,2.6939530581415737e-06,0.0
LDA,2,0.03734652114597544,0.2730673316708229,0.9959711172839586,0.06570657065706571,0.8052997783734828,0.09979814733974308,0.004501314429560261,0.014493174486063149,0.014402128613418136,0.0005188124499462427,0.00011007052838474252,0.04653317146490914,-5.133541449930945e-06,0.0431730373453578,0.014048190542259142,0.025877719967626313,0.00605808764018958,0.0662501792114695,0.037998219447334905,-7.561567811342762e-06,-1.1192045323227261e-05,0.009336015724361157,0.002099595328939707,0.008496704821366574,0.003370979303965749,8.049485489649565e-05,0.00018899294716152594
QDA,2,0.0378191591476291,0.4912718204488778,0.993251556760799,0.07023172905525847,0.8558879062895912,0.13492702404470702,0.0067008043154411605,0.03366856221864552,0.24587480356705838,0.0005188124499462427,0.0007312752919412357,0.03594873395768294,0.0017745404092958106,0.07535800670597752,0.01623274366978835,0.012302300844028169,0.021965522025667684,0.044757174239796506,0.015017412417620446,0.006169337495664218,0.0032936061972481667,0.046508081859174474,0.0020277026245808516,0.007506625043357573,0.015076008787142946,0.0011355763672100227,3.0523759971812225e-06
LR,2,0.0999131190269331,0.43017456359102246,0.9976938075011741,0.16216216216216217,0.8779705184733883,0.20652417414543997,0.006332308404494227,0.14582949961161448,0.20937147352527669,0.0005188124499462427,-0.00013680194242102762,0.06299847381200145,-1.553936871310224e-05,0.029795005202913716,0.004062273095155611,0.006975257255174094,0.0001614984391260288,0.021906347554630723,0.009455127760434778,3.5518557058744626e-05,9.048444906938347e-05,0.033455104636374244,0.003909053069719115,0.01144402821135404,0.0002766562608395029,0.0005042432651174211,0.00010544571626791566
CART,2,0.011390302423075909,0.5386533665835411,0.9755051952403809,0.02230886415864081,0.7571926618191318,0.0757151791156417,0.024494804759619054,0.006374777123751748,0.2751415106918872,0.0005188124499462427,0.022849462365591468,0.2881397849462366,0.0665913978494624,0.14784946236559143,0.048827956989247336,0.040010752688172044,0.11047311827956992,0.11719354838709681,0.00037634408602154056,0.00016129032258069831,0.004172043010752668,0.0025913978494623625,0.05327956989247309,0.01455913978494625,0.06824731182795703,0.0013440860215054196,0.0
GBDT,2,0.04904894208164138,0.5723192019950125,0.994021365757602,0.09035433070866143,0.8670511270366643,0.1663209700576262,0.005459889378663822,0.13499982863310203,0.13416635134216037,0.0005188124499462427,0.00024479130535324243,0.1558556249277374,0.0021810613943809678,0.016219771071800282,0.0022046016880564734,0.01275432998034467,0.006033113654757893,0.005548757081743539,4.578563995938367e-06,6.937218186564564e-08,0.0002697652907851511,5.249161752907128e-06,9.450803561119602e-05,1.3411955140485432e-06,0.001267082899757277,2.3124060595236528e-07,0.0
NN,2,0.06591549295774649,0.5835411471321695,0.9954937063262774,0.11845102505694763,0.8925966777624867,0.19507878071151616,0.005701954158369341,0.15990931235652905,0.18857499772811065,0.0005188124499462427,0.005483477858712171,0.07404593594635234,-3.5842293905741228e-06,0.07515715111573606,0.010517632096196295,0.02443897560411621,0.04728766331367804,0.014663845531275421,0.0027572667360390214,0.0018104751994452162,0.004841438316568536,0.024369834662966917,0.0153944271013992,0.005191802520522671,0.01645790264770499,0.003980298300381713,0.00019248468031003442
RF,2,0.0991890205864005,0.5947630922693267,0.9969873945394019,0.17002316877561932,0.8824890030405412,0.24205581499577838,0.00552503529089077,0.2078447467153851,0.2362028249348318,0.0005188124499462427,8.83917215863006e-05,0.052667140709908675,0.0003815238755925154,0.005359058850734177,0.0006954329980344953,0.006696739507457439,0.0016996878251820835,0.0009883107873742691,3.047751185105696e-05,0.0,5.711642964478791e-06,2.614175049133749e-05,0.00015885073418890893,0.00014212047635562275,0.0003993525263036535,2.6939530581415737e-06,0.0
LDA,3,0.03734652114597544,0.2730673316708229,0.9959711172839586,0.06570657065706571,0.8052997783734828,0.09979814733974308,0.004501314429560261,0.014493174486063149,0.014402128613418136,0.0005188124499462427,0.00011007052838474252,0.04653317146490914,-5.133541449930945e-06,0.0431730373453578,0.014048190542259142,0.025877719967626313,0.00605808764018958,0.0662501792114695,0.037998219447334905,-7.561567811342762e-06,-1.1192045323227261e-05,0.009336015724361157,0.002099595328939707,0.008496704821366574,0.003370979303965749,8.049485489649565e-05,0.00018899294716152594
QDA,3,0.0378191591476291,0.4912718204488778,0.993251556760799,0.07023172905525847,0.8558879062895912,0.13492702404470702,0.0067008043154411605,0.03366856221864552,0.24587480356705838,0.0005188124499462427,0.0007312752919412357,0.03594873395768294,0.0017745404092958106,0.07535800670597752,0.01623274366978835,0.012302300844028169,0.021965522025667684,0.044757174239796506,0.015017412417620446,0.006169337495664218,0.0032936061972481667,0.046508081859174474,0.0020277026245808516,0.007506625043357573,0.015076008787142946,0.0011355763672100227,3.0523759971812225e-06
