Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
LDA,1,0.09090909090909091,0.06691449814126393,0.9793710812233762,0.07708779443254818,0.6006108485872741,0.06770516019877876,0.022909851235894535,0.02399974512408554,0.023383478288714052,0.012875125640166563,-0.014018912529550853,0.001994366480559351,-0.004398169106181737,-0.00014687389970327036,0.012052713646194868,0.00037774759820934366,0.0027926160655902697,0.00739298828026762,0.01594990191640262,0.018565464513857478
QDA,1,0.036635006784260515,0.10037174721189591,0.9544344995931652,0.053677932405566606,0.6383582234290147,0.04030083525044101,0.04410104827683856,0.02058234601343844,0.027667435675612185,0.012875125640166563,0.019561893264926255,0.018687691766007663,0.03478899451737827,0.00044464564156723176,0.04737186258236496,0.006643026004728036,0.011800211256978898,0.07681001961671943,0.036885468537799795,0.015070670489411908
LR,1,0.057692307692307696,0.022304832713754646,0.9827214856650552,0.03217158176943699,0.603250787331178,0.02811788370879636,0.021028425689150004,0.026126066594514316,0.024778514184951052,0.012875125640166563,-0.013247321563301596,-0.0014461043207081748,-0.00157134952970166,-0.00017403551129213657,0.006960414466073183,0.015755243700015152,0.005324681857049462,0.004977616820079578,0.012191539660982919,0.016001207182737388
CART,1,0.10883720930232559,0.4349442379182156,0.9468721581390896,0.17410714285714285,0.6957314681563473,0.19824954705590725,0.05321293149752442,0.0549652920050996,0.275347546929723,0.012875125640166563,0.09709370755998181,0.038781751420954656,0.22132940998943712,0.0,0.4007238066495649,0.0635093808158543,0.11210552789095118,0.07101353050651375,0.07804637593682409,0.17810673507368843
GBDT,1,0.20502901353965183,0.3940520446096654,0.9725266835782319,0.2697201017811705,0.8785445224245185,0.27150210175954964,0.022810623472047542,0.14320134376622998,0.14147535484738205,0.012875125640166563,7.54489210808007e-06,0.025369448216890557,0.014472612041647893,0.0,0.14693375584729146,0.016159649917006313,0.006212967154569782,0.005734620994919837,0.003211106081183135,0.014854886575122017
NN,1,0.08943089430894309,0.08178438661710037,0.9774565643995596,0.0854368932038835,0.6603824071857669,0.07412337924741859,0.022891476791327508,0.041328713576931055,0.03983379075075415,0.012875125640166563,0.09790604094361448,0.021022584377043387,0.17463507871837428,0.027506664654695423,0.042570293244806615,0.033249333534530454,0.10065992656305009,0.13919420552286105,0.08033700518082584,0.10304511845480599
RF,1,0.15862068965517243,0.17100371747211895,0.9776480160819413,0.16457960644007158,0.8784315959174139,0.1533795033497719,0.021769679408405622,0.12874470690535306,0.1281360625876496,0.012875125640166563,7.192797142996366e-05,0.0030204718072531335,0.01045319651928973,-2.011971228865761e-06,0.056327146521804705,0.009376288919068432,0.001520044263366982,0.0018993008399979417,0.0007932196569588213,0.007401539157989978
LDA,2,0.09090909090909091,0.06691449814126393,0.9793710812233762,0.07708779443254818,0.6006108485872741,0.06770516019877876,0.022909851235894535,0.02399974512408554,0.023383478288714052,0.012875125640166563,-0.014018912529550853,0.001994366480559351,-0.004398169106181737,-0.00014687389970327036,0.012052713646194868,0.00037774759820934366,0.0027926160655902697,0.00739298828026762,0.01594990191640262,0.018565464513857478
QDA,2,0.036635006784260515,0.10037174721189591,0.9544344995931652,0.053677932405566606,0.6383582234290147,0.04030083525044101,0.04410104827683856,0.02058234601343844,0.027667435675612185,0.012875125640166563,0.019561893264926255,0.018687691766007663,0.03478899451737827,0.00044464564156723176,0.04737186258236496,0.006643026004728036,0.011800211256978898,0.07681001961671943,0.036885468537799795,0.015070670489411908
LR,2,0.057692307692307696,0.022304832713754646,0.9827214856650552,0.03217158176943699,0.603250787331178,0.02811788370879636,0.021028425689150004,0.026126066594514316,0.024778514184951052,0.012875125640166563,-0.013247321563301596,-0.0014461043207081748,-0.00157134952970166,-0.00017403551129213657,0.006960414466073183,0.015755243700015152,0.005324681857049462,0.004977616820079578,0.012191539660982919,0.016001207182737388
CART,2,0.09642560266001662,0.4312267657992565,0.9406499784616857,0.15760869565217392,0.6907317890010123,0.18318803478927667,0.05943511117492834,0.04921152122657576,0.2673826688346042,0.012875125640166563,0.08460339017152055,0.0610804285498717,0.25335496202404295,0.0,0.3943805643579297,0.07579548312459136,0.08647049947185756,0.08175443891152356,0.06603188974397659,0.19016146069111212
GBDT,2,0.20502901353965183,0.3940520446096654,0.9725266835782319,0.2697201017811705,0.8785445224245185,0.27150210175954964,0.022810623472047542,0.14320134376622998,0.14147535484738205,0.012875125640166563,7.54489210808007e-06,0.025369448216890557,0.014472612041647893,0.0,0.14693375584729146,0.016159649917006313,0.006212967154569782,0.005734620994919837,0.003211106081183135,0.014854886575122017
NN,2,0.10434782608695652,0.08921933085501858,0.9784138228114679,0.09619238476953908,0.6378005305112462,0.08560456897105954,0.02295871580754172,0.04092173400010264,0.04032705068516174,0.012875125640166563,0.09850560836980027,0.026752678436698263,0.1956963935415724,0.02597957849202761,0.06250892812232789,0.032014989185654666,0.10537900508022735,0.12450178562446557,0.06610331472259948,0.11048438207333637
RF,2,0.1506849315068493,0.16356877323420074,0.9773608385583689,0.1568627450980392,0.8726760391762152,0.14553438328113041,0.021290072078566983,0.12093073280246248,0.12237519876762498,0.012875125640166563,0.00015844273426885992,0.0020064383079322345,0.011939540264574156,-1.0059856144550849e-06,0.057046426236104765,0.007150545747195758,0.0030239927569035486,0.0012066797444796108,0.0013626075147124884,0.006876917660077408
LDA,3,0.09090909090909091,0.06691449814126393,0.9793710812233762,0.07708779443254818,0.6006108485872741,0.06770516019877876,0.022909851235894535,0.02399974512408554,0.023383478288714052,0.012875125640166563,-0.014018912529550853,0.001994366480559351,-0.004398169106181737,-0.00014687389970327036,0.012052713646194868,0.00037774759820934366,0.0027926160655902697,0.00739298828026762,0.01594990191640262,0.018565464513857478
